"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"USCA","United States and Canada","2","Visit to friends/relatives","20174","2017Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"USCA","United States and Canada","2","Visit to friends/relatives","20174","2017Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","2","Visit to friends/relatives","20181","2018Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"USCA","United States and Canada","2","Visit to friends/relatives","20181","2018Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"USCA","United States and Canada","2","Visit to friends/relatives","20181","2018Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"USCA","United States and Canada","2","Visit to friends/relatives","20182","2018Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"USCA","United States and Canada","2","Visit to friends/relatives","20182","2018Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","46"
"USCA","United States and Canada","2","Visit to friends/relatives","20182","2018Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"USCA","United States and Canada","2","Visit to friends/relatives","20183","2018Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"USCA","United States and Canada","2","Visit to friends/relatives","20183","2018Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","60"
"USCA","United States and Canada","2","Visit to friends/relatives","20183","2018Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"USCA","United States and Canada","2","Visit to friends/relatives","20184","2018Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"USCA","United States and Canada","2","Visit to friends/relatives","20184","2018Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"USCA","United States and Canada","2","Visit to friends/relatives","20184","2018Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","2","Visit to friends/relatives","20191","2019Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"USCA","United States and Canada","2","Visit to friends/relatives","20191","2019Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"USCA","United States and Canada","2","Visit to friends/relatives","20191","2019Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","2","Visit to friends/relatives","20192","2019Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"USCA","United States and Canada","2","Visit to friends/relatives","20192","2019Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","42"
"USCA","United States and Canada","2","Visit to friends/relatives","20192","2019Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"USCA","United States and Canada","2","Visit to friends/relatives","20193","2019Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.2"
"USCA","United States and Canada","2","Visit to friends/relatives","20193","2019Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","68"
"USCA","United States and Canada","2","Visit to friends/relatives","20193","2019Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"USCA","United States and Canada","2","Visit to friends/relatives","20194","2019Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"USCA","United States and Canada","2","Visit to friends/relatives","20194","2019Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"USCA","United States and Canada","2","Visit to friends/relatives","20194","2019Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","20121","2012Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"USCA","United States and Canada","3","Business","20121","2012Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","16"
"USCA","United States and Canada","3","Business","20121","2012Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"USCA","United States and Canada","3","Business","20122","2012Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
"USCA","United States and Canada","3","Business","20122","2012Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"USCA","United States and Canada","3","Business","20122","2012Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"USCA","United States and Canada","3","Business","20123","2012Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"USCA","United States and Canada","3","Business","20123","2012Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"USCA","United States and Canada","3","Business","20123","2012Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"USCA","United States and Canada","3","Business","20124","2012Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.6"
"USCA","United States and Canada","3","Business","20124","2012Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"USCA","United States and Canada","3","Business","20124","2012Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"USCA","United States and Canada","3","Business","20131","2013Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"USCA","United States and Canada","3","Business","20131","2013Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","16"
"USCA","United States and Canada","3","Business","20131","2013Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","20132","2013Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"USCA","United States and Canada","3","Business","20132","2013Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"USCA","United States and Canada","3","Business","20132","2013Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"USCA","United States and Canada","3","Business","20133","2013Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"USCA","United States and Canada","3","Business","20133","2013Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"USCA","United States and Canada","3","Business","20133","2013Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","20134","2013Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"USCA","United States and Canada","3","Business","20134","2013Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"USCA","United States and Canada","3","Business","20134","2013Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","20141","2014Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"USCA","United States and Canada","3","Business","20141","2014Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"USCA","United States and Canada","3","Business","20141","2014Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","20142","2014Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"USCA","United States and Canada","3","Business","20142","2014Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"USCA","United States and Canada","3","Business","20142","2014Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","20143","2014Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"USCA","United States and Canada","3","Business","20143","2014Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"USCA","United States and Canada","3","Business","20143","2014Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","3","Business","20144","2014Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"USCA","United States and Canada","3","Business","20144","2014Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"USCA","United States and Canada","3","Business","20144","2014Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"USCA","United States and Canada","3","Business","20151","2015Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"USCA","United States and Canada","3","Business","20151","2015Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","26"
"USCA","United States and Canada","3","Business","20151","2015Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"USCA","United States and Canada","3","Business","20152","2015Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"USCA","United States and Canada","3","Business","20152","2015Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"USCA","United States and Canada","3","Business","20152","2015Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","3","Business","20153","2015Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"USCA","United States and Canada","3","Business","20153","2015Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"USCA","United States and Canada","3","Business","20153","2015Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"USCA","United States and Canada","3","Business","20154","2015Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"USCA","United States and Canada","3","Business","20154","2015Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"USCA","United States and Canada","3","Business","20154","2015Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","20161","2016Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"USCA","United States and Canada","3","Business","20161","2016Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"USCA","United States and Canada","3","Business","20161","2016Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"USCA","United States and Canada","3","Business","20162","2016Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"USCA","United States and Canada","3","Business","20162","2016Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"USCA","United States and Canada","3","Business","20162","2016Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"USCA","United States and Canada","3","Business","20163","2016Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"USCA","United States and Canada","3","Business","20163","2016Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"USCA","United States and Canada","3","Business","20163","2016Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","3","Business","20164","2016Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"USCA","United States and Canada","3","Business","20164","2016Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"USCA","United States and Canada","3","Business","20164","2016Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","3","Business","20171","2017Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"USCA","United States and Canada","3","Business","20171","2017Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"USCA","United States and Canada","3","Business","20171","2017Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","3","Business","20172","2017Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"USCA","United States and Canada","3","Business","20172","2017Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"USCA","United States and Canada","3","Business","20172","2017Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","20173","2017Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"USCA","United States and Canada","3","Business","20173","2017Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","42"
"USCA","United States and Canada","3","Business","20173","2017Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","3","Business","20174","2017Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"USCA","United States and Canada","3","Business","20174","2017Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"USCA","United States and Canada","3","Business","20174","2017Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","3","Business","20181","2018Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"USCA","United States and Canada","3","Business","20181","2018Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"USCA","United States and Canada","3","Business","20181","2018Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"USCA","United States and Canada","3","Business","20182","2018Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"USCA","United States and Canada","3","Business","20182","2018Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"USCA","United States and Canada","3","Business","20182","2018Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","3","Business","20183","2018Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"USCA","United States and Canada","3","Business","20183","2018Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","47"
"USCA","United States and Canada","3","Business","20183","2018Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"USCA","United States and Canada","3","Business","20184","2018Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"USCA","United States and Canada","3","Business","20184","2018Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"USCA","United States and Canada","3","Business","20184","2018Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","3","Business","20191","2019Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"USCA","United States and Canada","3","Business","20191","2019Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"USCA","United States and Canada","3","Business","20191","2019Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"USCA","United States and Canada","3","Business","20192","2019Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"USCA","United States and Canada","3","Business","20192","2019Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"USCA","United States and Canada","3","Business","20192","2019Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","20193","2019Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"USCA","United States and Canada","3","Business","20193","2019Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"USCA","United States and Canada","3","Business","20193","2019Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","20194","2019Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"USCA","United States and Canada","3","Business","20194","2019Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"USCA","United States and Canada","3","Business","20194","2019Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","4","Other reason for journey","20121","2012Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"USCA","United States and Canada","4","Other reason for journey","20121","2012Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"USCA","United States and Canada","4","Other reason for journey","20121","2012Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"USCA","United States and Canada","4","Other reason for journey","20122","2012Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","11"
"USCA","United States and Canada","4","Other reason for journey","20122","2012Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","17"
"USCA","United States and Canada","4","Other reason for journey","20122","2012Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"USCA","United States and Canada","4","Other reason for journey","20123","2012Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"USCA","United States and Canada","4","Other reason for journey","20123","2012Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","15"
"USCA","United States and Canada","4","Other reason for journey","20123","2012Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","4","Other reason for journey","20124","2012Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.3"
"USCA","United States and Canada","4","Other reason for journey","20124","2012Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"USCA","United States and Canada","4","Other reason for journey","20124","2012Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"USCA","United States and Canada","4","Other reason for journey","20131","2013Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.7"
"USCA","United States and Canada","4","Other reason for journey","20131","2013Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"USCA","United States and Canada","4","Other reason for journey","20131","2013Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"USCA","United States and Canada","4","Other reason for journey","20132","2013Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"USCA","United States and Canada","4","Other reason for journey","20132","2013Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"USCA","United States and Canada","4","Other reason for journey","20132","2013Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","15"
"USCA","United States and Canada","4","Other reason for journey","20133","2013Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"USCA","United States and Canada","4","Other reason for journey","20133","2013Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"USCA","United States and Canada","4","Other reason for journey","20133","2013Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"USCA","United States and Canada","4","Other reason for journey","20134","2013Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.3"
"USCA","United States and Canada","4","Other reason for journey","20134","2013Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","15"
"USCA","United States and Canada","4","Other reason for journey","20134","2013Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"USCA","United States and Canada","4","Other reason for journey","20141","2014Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"USCA","United States and Canada","4","Other reason for journey","20141","2014Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"USCA","United States and Canada","4","Other reason for journey","20141","2014Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"USCA","United States and Canada","4","Other reason for journey","20142","2014Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"USCA","United States and Canada","4","Other reason for journey","20142","2014Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","22"
"USCA","United States and Canada","4","Other reason for journey","20142","2014Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"USCA","United States and Canada","4","Other reason for journey","20143","2014Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3"
"USCA","United States and Canada","4","Other reason for journey","20143","2014Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"USCA","United States and Canada","4","Other reason for journey","20143","2014Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","4","Other reason for journey","20144","2014Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"USCA","United States and Canada","4","Other reason for journey","20144","2014Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","15"
"USCA","United States and Canada","4","Other reason for journey","20144","2014Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","15"
"USCA","United States and Canada","4","Other reason for journey","20151","2015Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"USCA","United States and Canada","4","Other reason for journey","20151","2015Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"USCA","United States and Canada","4","Other reason for journey","20151","2015Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"USCA","United States and Canada","4","Other reason for journey","20152","2015Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.8"
"USCA","United States and Canada","4","Other reason for journey","20152","2015Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"USCA","United States and Canada","4","Other reason for journey","20152","2015Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"USCA","United States and Canada","4","Other reason for journey","20153","2015Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3"
"USCA","United States and Canada","4","Other reason for journey","20153","2015Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"USCA","United States and Canada","4","Other reason for journey","20153","2015Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","4","Other reason for journey","20154","2015Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"USCA","United States and Canada","4","Other reason for journey","20154","2015Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"USCA","United States and Canada","4","Other reason for journey","20154","2015Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"USCA","United States and Canada","4","Other reason for journey","20161","2016Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"USCA","United States and Canada","4","Other reason for journey","20161","2016Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"USCA","United States and Canada","4","Other reason for journey","20161","2016Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"USCA","United States and Canada","4","Other reason for journey","20162","2016Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
"USCA","United States and Canada","4","Other reason for journey","20162","2016Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"USCA","United States and Canada","4","Other reason for journey","20162","2016Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"USCA","United States and Canada","4","Other reason for journey","20163","2016Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3"
"USCA","United States and Canada","4","Other reason for journey","20163","2016Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"USCA","United States and Canada","4","Other reason for journey","20163","2016Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"USCA","United States and Canada","4","Other reason for journey","20164","2016Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"USCA","United States and Canada","4","Other reason for journey","20164","2016Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"USCA","United States and Canada","4","Other reason for journey","20164","2016Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"USCA","United States and Canada","4","Other reason for journey","20171","2017Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.3"
"USCA","United States and Canada","4","Other reason for journey","20171","2017Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"USCA","United States and Canada","4","Other reason for journey","20171","2017Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"USCA","United States and Canada","4","Other reason for journey","20172","2017Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"USCA","United States and Canada","4","Other reason for journey","20172","2017Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"USCA","United States and Canada","4","Other reason for journey","20172","2017Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","25"
"USCA","United States and Canada","4","Other reason for journey","20173","2017Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.3"
"USCA","United States and Canada","4","Other reason for journey","20173","2017Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"USCA","United States and Canada","4","Other reason for journey","20173","2017Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"USCA","United States and Canada","4","Other reason for journey","20174","2017Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"USCA","United States and Canada","4","Other reason for journey","20174","2017Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","23"
