"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"3","Business","20183","2018Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","40"
"3","Business","20184","2018Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","331"
"3","Business","20184","2018Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","59"
"3","Business","20191","2019Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","343"
"3","Business","20191","2019Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","46"
"3","Business","20192","2019Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","321"
"3","Business","20192","2019Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","44"
"3","Business","20193","2019Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","309"
"3","Business","20193","2019Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","42"
"3","Business","20194","2019Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","323"
"3","Business","20194","2019Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","56"
"4","Other reason for journey","20121","2012Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","74"
"4","Other reason for journey","20121","2012Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","35"
"4","Other reason for journey","20122","2012Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","127"
"4","Other reason for journey","20122","2012Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","61"
"4","Other reason for journey","20123","2012Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","178"
"4","Other reason for journey","20123","2012Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"4","Other reason for journey","20124","2012Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","108"
"4","Other reason for journey","20124","2012Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","54"
"4","Other reason for journey","20131","2013Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","53"
"4","Other reason for journey","20131","2013Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","40"
"4","Other reason for journey","20132","2013Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","134"
"4","Other reason for journey","20132","2013Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","90"
"4","Other reason for journey","20133","2013Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","106"
"4","Other reason for journey","20133","2013Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","112"
"4","Other reason for journey","20134","2013Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","57"
"4","Other reason for journey","20134","2013Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","77"
"4","Other reason for journey","20141","2014Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","48"
"4","Other reason for journey","20141","2014Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","68"
"4","Other reason for journey","20142","2014Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","95"
"4","Other reason for journey","20142","2014Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","136"
"4","Other reason for journey","20143","2014Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","110"
"4","Other reason for journey","20143","2014Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","146"
"4","Other reason for journey","20144","2014Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","64"
"4","Other reason for journey","20144","2014Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","123"
"4","Other reason for journey","20151","2015Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","63"
"4","Other reason for journey","20151","2015Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","77"
"4","Other reason for journey","20152","2015Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","87"
"4","Other reason for journey","20152","2015Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","142"
"4","Other reason for journey","20153","2015Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","129"
"4","Other reason for journey","20153","2015Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","185"
"4","Other reason for journey","20154","2015Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","72"
"4","Other reason for journey","20154","2015Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","148"
"4","Other reason for journey","20161","2016Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","67"
"4","Other reason for journey","20161","2016Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","108"
"4","Other reason for journey","20162","2016Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","101"
"4","Other reason for journey","20162","2016Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","175"
"4","Other reason for journey","20163","2016Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","142"
"4","Other reason for journey","20163","2016Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","252"
"4","Other reason for journey","20164","2016Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","73"
"4","Other reason for journey","20164","2016Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","186"
"4","Other reason for journey","20171","2017Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","72"
"4","Other reason for journey","20171","2017Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","134"
"4","Other reason for journey","20172","2017Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","95"
"4","Other reason for journey","20172","2017Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","211"
"4","Other reason for journey","20173","2017Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","131"
"4","Other reason for journey","20173","2017Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","253"
"4","Other reason for journey","20174","2017Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","95"
"4","Other reason for journey","20174","2017Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","187"
"4","Other reason for journey","20181","2018Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","89"
"4","Other reason for journey","20181","2018Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","156"
"4","Other reason for journey","20182","2018Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","98"
"4","Other reason for journey","20182","2018Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","219"
"4","Other reason for journey","20183","2018Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","128"
"4","Other reason for journey","20183","2018Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","302"
"4","Other reason for journey","20184","2018Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","80"
"4","Other reason for journey","20184","2018Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","222"
"4","Other reason for journey","20191","2019Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","85"
"4","Other reason for journey","20191","2019Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","182"
"4","Other reason for journey","20192","2019Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","124"
"4","Other reason for journey","20192","2019Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","287"
"4","Other reason for journey","20193","2019Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","112"
"4","Other reason for journey","20193","2019Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","333"
"4","Other reason for journey","20194","2019Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","91"
"4","Other reason for journey","20194","2019Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","227"
