"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"1","Holiday/leisure/recreation","20121","2012Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","8"
"1","Holiday/leisure/recreation","20122","2012Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","847"
"1","Holiday/leisure/recreation","20122","2012Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"1","Holiday/leisure/recreation","20123","2012Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1058"
"1","Holiday/leisure/recreation","20123","2012Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"1","Holiday/leisure/recreation","20124","2012Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","508"
"1","Holiday/leisure/recreation","20124","2012Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"1","Holiday/leisure/recreation","20131","2013Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","433"
"1","Holiday/leisure/recreation","20131","2013Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","9"
"1","Holiday/leisure/recreation","20132","2013Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","875"
"1","Holiday/leisure/recreation","20132","2013Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","11"
"1","Holiday/leisure/recreation","20133","2013Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1141"
"1","Holiday/leisure/recreation","20133","2013Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"1","Holiday/leisure/recreation","20134","2013Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","562"
"1","Holiday/leisure/recreation","20134","2013Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","13"
"1","Holiday/leisure/recreation","20141","2014Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","466"
"1","Holiday/leisure/recreation","20141","2014Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","9"
"1","Holiday/leisure/recreation","20142","2014Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","936"
"1","Holiday/leisure/recreation","20142","2014Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","21"
"1","Holiday/leisure/recreation","20143","2014Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1230"
"1","Holiday/leisure/recreation","20143","2014Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","20"
"1","Holiday/leisure/recreation","20144","2014Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","629"
"1","Holiday/leisure/recreation","20144","2014Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","13"
"1","Holiday/leisure/recreation","20151","2015Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","528"
"1","Holiday/leisure/recreation","20151","2015Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","11"
"1","Holiday/leisure/recreation","20152","2015Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1158"
"1","Holiday/leisure/recreation","20152","2015Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","26"
"1","Holiday/leisure/recreation","20153","2015Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1450"
"1","Holiday/leisure/recreation","20153","2015Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","34"
"1","Holiday/leisure/recreation","20154","2015Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","772"
"1","Holiday/leisure/recreation","20154","2015Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","23"
"1","Holiday/leisure/recreation","20161","2016Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","674"
"1","Holiday/leisure/recreation","20161","2016Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","16"
"1","Holiday/leisure/recreation","20162","2016Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1218"
"1","Holiday/leisure/recreation","20162","2016Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","39"
"1","Holiday/leisure/recreation","20163","2016Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1531"
"1","Holiday/leisure/recreation","20163","2016Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","43"
"1","Holiday/leisure/recreation","20164","2016Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","827"
"1","Holiday/leisure/recreation","20164","2016Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","40"
"1","Holiday/leisure/recreation","20171","2017Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","669"
"1","Holiday/leisure/recreation","20171","2017Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","22"
"1","Holiday/leisure/recreation","20172","2017Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1385"
