"STATISTIC Label","Month","Country","Direction","UNIT","VALUE"
"Air and Sea Travel","2010 March","Switzerland","Arrivals","Thousand","13.3"
"Air and Sea Travel","2010 March","Switzerland","Departures","Thousand","12.5"
"Air and Sea Travel","2010 March","Other Europe (34)","Arrivals","Thousand","5"
"Air and Sea Travel","2010 March","Other Europe (34)","Departures","Thousand","4.9"
"Air and Sea Travel","2010 March","United States","Arrivals","Thousand","63"
"Air and Sea Travel","2010 March","United States","Departures","Thousand","65.7"
"Air and Sea Travel","2010 March","Other Transatlantic Countries(1)","Arrivals","Thousand","0"
"Air and Sea Travel","2010 March","Other Transatlantic Countries(1)","Departures","Thousand","0"
"Air and Sea Travel","2010 March","United Arab Emirates","Arrivals","Thousand","7.6"
"Air and Sea Travel","2010 March","United Arab Emirates","Departures","Thousand","7.5"
"Air and Sea Travel","2010 March","Other Countries(42)","Arrivals","Thousand","5.4"
"Air and Sea Travel","2010 March","Other Countries(42)","Departures","Thousand","6.4"
"Air and Sea Travel","2010 March","All countries","Arrivals","Thousand","989.8"
"Air and Sea Travel","2010 March","All countries","Departures","Thousand","1001.1"
"Air and Sea Travel","2010 April","Great Britain","Arrivals","Thousand","455.3"
"Air and Sea Travel","2010 April","Great Britain","Departures","Thousand","449.4"
"Air and Sea Travel","2010 April","Other UK (1)","Arrivals","Thousand","2.1"
"Air and Sea Travel","2010 April","Other UK (1)","Departures","Thousand","2.3"
"Air and Sea Travel","2010 April","Belgium","Arrivals","Thousand","10.2"
"Air and Sea Travel","2010 April","Belgium","Departures","Thousand","9.8"
"Air and Sea Travel","2010 April","Germany","Arrivals","Thousand","44.4"
"Air and Sea Travel","2010 April","Germany","Departures","Thousand","43.7"
"Air and Sea Travel","2010 April","Spain","Arrivals","Thousand","81.1"
"Air and Sea Travel","2010 April","Spain","Departures","Thousand","84.5"
"Air and Sea Travel","2010 April","France","Arrivals","Thousand","74.4"
"Air and Sea Travel","2010 April","France","Departures","Thousand","66"
