"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","AREARES","Area of Residence","TLIST(A1)","Year","UNIT","VALUE"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","2017","2017","Thousand","1623"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","2018","2018","Thousand","1641"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","2019","2019","Thousand","1858"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","2009","2009","Thousand","9422"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","2010","2010","Thousand","8346"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","2011","2011","Thousand","8494"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","2012","2012","Thousand","6048"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","2013","2013","Thousand","6935"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","2014","2014","Thousand","7852"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","2015","2015","Thousand","9429"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","2016","2016","Thousand","10387"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","2017","2017","Thousand","10825"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","2018","2018","Thousand","11075"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","2019","2019","Thousand","10971"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","2009","2009","Thousand","1538"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","2010","2010","Thousand","1466"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","2011","2011","Thousand","1337"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","2012","2012","Thousand","1132"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","2013","2013","Thousand","1171"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","2014","2014","Thousand","1174"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","2015","2015","Thousand","1299"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","2016","2016","Thousand","1377"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","2017","2017","Thousand","1435"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","2018","2018","Thousand","1178"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","2019","2019","Thousand","1147"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","02","Other Europe","2009","2009","Thousand","4999"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","02","Other Europe","2010","2010","Thousand","4409"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","02","Other Europe","2011","2011","Thousand","4900"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","02","Other Europe","2012","2012","Thousand","3104"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","02","Other Europe","2013","2013","Thousand","3598"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","02","Other Europe","2014","2014","Thousand","4449"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","02","Other Europe","2015","2015","Thousand","5045"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","02","Other Europe","2016","2016","Thousand","5345"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","02","Other Europe","2017","2017","Thousand","5480"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","02","Other Europe","2018","2018","Thousand","6373"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","02","Other Europe","2019","2019","Thousand","5829"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","03","USA and Canada","2009","2009","Thousand","1727"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","03","USA and Canada","2010","2010","Thousand","1543"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","03","USA and Canada","2011","2011","Thousand","1269"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","03","USA and Canada","2012","2012","Thousand","976"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","03","USA and Canada","2013","2013","Thousand","1215"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","03","USA and Canada","2014","2014","Thousand","1086"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","03","USA and Canada","2015","2015","Thousand","1605"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","03","USA and Canada","2016","2016","Thousand","1703"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","03","USA and Canada","2017","2017","Thousand","1633"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","03","USA and Canada","2018","2018","Thousand","1731"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","03","USA and Canada","2019","2019","Thousand","2202"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","04","Other Areas","2009","2009","Thousand","1158"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","04","Other Areas","2010","2010","Thousand","928"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","04","Other Areas","2011","2011","Thousand","988"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","04","Other Areas","2012","2012","Thousand","836"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","04","Other Areas","2013","2013","Thousand","952"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","04","Other Areas","2014","2014","Thousand","1144"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","04","Other Areas","2015","2015","Thousand","1478"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","04","Other Areas","2016","2016","Thousand","1962"
