"STATISTIC","Statistic Label","C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(A1)","Year","UNIT","VALUE"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","2018","2018","%","16"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","2019","2019","%","17"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","3","Business","2009","2009","%","15"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","3","Business","2010","2010","%","13"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","3","Business","2011","2011","%","13"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","3","Business","2012","2012","%","15"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","3","Business","2013","2013","%","13"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","3","Business","2014","2014","%","12"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","3","Business","2015","2015","%","12"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","3","Business","2016","2016","%","12"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","3","Business","2017","2017","%","14"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","3","Business","2018","2018","%","15"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","3","Business","2019","2019","%","15"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","4","Other reason for journey","2009","2009","%","39"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","4","Other reason for journey","2010","2010","%","35"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","4","Other reason for journey","2011","2011","%","31"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","4","Other reason for journey","2012","2012","%","31"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","4","Other reason for journey","2013","2013","%","28"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","4","Other reason for journey","2014","2014","%","26"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","4","Other reason for journey","2015","2015","%","24"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","4","Other reason for journey","2016","2016","%","22"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","4","Other reason for journey","2017","2017","%","23"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","4","Other reason for journey","2018","2018","%","29"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","4","Other reason for journey","2019","2019","%","26"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","-","All reasons for journey","2009","2009","%","22"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","-","All reasons for journey","2010","2010","%","21"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","-","All reasons for journey","2011","2011","%","24"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","-","All reasons for journey","2012","2012","%","23"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","-","All reasons for journey","2013","2013","%","29"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","-","All reasons for journey","2014","2014","%","31"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","-","All reasons for journey","2015","2015","%","32"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","-","All reasons for journey","2016","2016","%","35"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","-","All reasons for journey","2017","2017","%","38"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","-","All reasons for journey","2018","2018","%","37"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","-","All reasons for journey","2019","2019","%","41"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","1","Holiday/leisure/recreation","2009","2009","%","30"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","1","Holiday/leisure/recreation","2010","2010","%","25"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","1","Holiday/leisure/recreation","2011","2011","%","30"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","1","Holiday/leisure/recreation","2012","2012","%","35"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","1","Holiday/leisure/recreation","2013","2013","%","38"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","1","Holiday/leisure/recreation","2014","2014","%","41"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","1","Holiday/leisure/recreation","2015","2015","%","42"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","1","Holiday/leisure/recreation","2016","2016","%","37"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","1","Holiday/leisure/recreation","2017","2017","%","37"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","1","Holiday/leisure/recreation","2018","2018","%","42"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","1","Holiday/leisure/recreation","2019","2019","%","54"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","2","Visit to friends/relatives","2009","2009","%","25"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","2","Visit to friends/relatives","2010","2010","%","19"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","2","Visit to friends/relatives","2011","2011","%","14"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","2","Visit to friends/relatives","2012","2012","%","16"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","2","Visit to friends/relatives","2013","2013","%","21"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","2","Visit to friends/relatives","2014","2014","%","25"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","2","Visit to friends/relatives","2015","2015","%","29"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","2","Visit to friends/relatives","2016","2016","%","28"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","2","Visit to friends/relatives","2017","2017","%","38"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","2","Visit to friends/relatives","2018","2018","%","35"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","2","Visit to friends/relatives","2019","2019","%","40"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","2009","2009","%","5"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","2010","2010","%","4"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","2011","2011","%","4"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","2012","2012","%","3"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","2013","2013","%","5"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","2014","2014","%","6"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","2015","2015","%","5"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","2016","2016","%","7"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","2017","2017","%","9"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","2018","2018","%","10"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","3","Business","2019","2019","%","9"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","2009","2009","%","43"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","2010","2010","%","41"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZWORX25","Other countries (25)","4","Other reason for journey","2011","2011","%","43"
