"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","C02118V02559","Reason for Journey","TLIST(A1)","Year","UNIT","VALUE"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","2016","2016","Thousand","12369"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","2017","2017","Thousand","12853"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","2018","2018","Thousand","14144"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","2019","2019","Thousand","14533"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","2009","2009","Thousand","1309"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","2010","2010","Thousand","1213"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","2011","2011","Thousand","1175"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","2012","2012","Thousand","1180"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","2013","2013","Thousand","1466"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","2014","2014","Thousand","1606"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","2015","2015","Thousand","1794"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","2016","2016","Thousand","1769"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","2017","2017","Thousand","2050"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","2018","2018","Thousand","1911"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","2019","2019","Thousand","2076"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","2009","2009","Thousand","2346"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","2010","2010","Thousand","2414"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","2011","2011","Thousand","2575"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","2012","2012","Thousand","3099"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","2013","2013","Thousand","2936"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","2014","2014","Thousand","3074"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","2015","2015","Thousand","3471"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","2016","2016","Thousand","3856"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","2017","2017","Thousand","3814"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","2018","2018","Thousand","3466"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","2019","2019","Thousand","3683"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","2009","2009","Thousand","301"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","2010","2010","Thousand","503"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","2011","2011","Thousand","543"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","2012","2012","Thousand","711"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","2013","2013","Thousand","490"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","2014","2014","Thousand","424"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","2015","2015","Thousand","433"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","2016","2016","Thousand","528"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","2017","2017","Thousand","465"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","2018","2018","Thousand","540"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","2019","2019","Thousand","598"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","2009","2009","Thousand","9422"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","2010","2010","Thousand","8346"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","2011","2011","Thousand","8494"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","2012","2012","Thousand","6048"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","2013","2013","Thousand","6935"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","2014","2014","Thousand","7852"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","2015","2015","Thousand","9429"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","2016","2016","Thousand","10387"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","2017","2017","Thousand","10825"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","2018","2018","Thousand","11075"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","2019","2019","Thousand","10971"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","2009","2009","Thousand","3134"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","2010","2010","Thousand","2603"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","2011","2011","Thousand","2322"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","2012","2012","Thousand","1437"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","2013","2013","Thousand","1408"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","2014","2014","Thousand","1805"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","2015","2015","Thousand","2217"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","2016","2016","Thousand","2443"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","2017","2017","Thousand","2546"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","2018","2018","Thousand","3062"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","2019","2019","Thousand","2899"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","2","Visit to friends/relatives","2009","2009","Thousand","1885"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","2","Visit to friends/relatives","2010","2010","Thousand","1119"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","2","Visit to friends/relatives","2011","2011","Thousand","957"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","2","Visit to friends/relatives","2012","2012","Thousand","498"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","2","Visit to friends/relatives","2013","2013","Thousand","569"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","2","Visit to friends/relatives","2014","2014","Thousand","650"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","2","Visit to friends/relatives","2015","2015","Thousand","863"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","2","Visit to friends/relatives","2016","2016","Thousand","852"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","2","Visit to friends/relatives","2017","2017","Thousand","933"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","2","Visit to friends/relatives","2018","2018","Thousand","963"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","2","Visit to friends/relatives","2019","2019","Thousand","932"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","3","Business","2009","2009","Thousand","1780"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","3","Business","2010","2010","Thousand","1584"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","3","Business","2011","2011","Thousand","1384"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","3","Business","2012","2012","Thousand","895"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","3","Business","2013","2013","Thousand","1670"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","3","Business","2014","2014","Thousand","1691"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","3","Business","2015","2015","Thousand","1811"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","3","Business","2016","2016","Thousand","2300"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","3","Business","2017","2017","Thousand","2449"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","3","Business","2018","2018","Thousand","2361"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","3","Business","2019","2019","Thousand","2557"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","4","Other reason for journey","2009","2009","Thousand","2623"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","4","Other reason for journey","2010","2010","Thousand","3040"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","4","Other reason for journey","2011","2011","Thousand","3831"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","4","Other reason for journey","2012","2012","Thousand","3218"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","4","Other reason for journey","2013","2013","Thousand","3288"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","4","Other reason for journey","2014","2014","Thousand","3705"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","4","Other reason for journey","2015","2015","Thousand","4538"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","4","Other reason for journey","2016","2016","Thousand","4792"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","4","Other reason for journey","2017","2017","Thousand","4897"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","4","Other reason for journey","2018","2018","Thousand","4688"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","4","Other reason for journey","2019","2019","Thousand","4582"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2009","2009","Thousand","18177"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2010","2010","Thousand","15110"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2011","2011","Thousand","14785"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2012","2012","Thousand","13331"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2013","2013","Thousand","14336"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2014","2014","Thousand","16096"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2015","2015","Thousand","15794"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2016","2016","Thousand","17219"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2017","2017","Thousand","16969"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2018","2018","Thousand","17157"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2019","2019","Thousand","17060"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2009","2009","Thousand","2429"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2010","2010","Thousand","2155"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2011","2011","Thousand","2330"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2012","2012","Thousand","2067"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2013","2013","Thousand","2384"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2014","2014","Thousand","2635"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2015","2015","Thousand","2621"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2016","2016","Thousand","2844"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2017","2017","Thousand","3080"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2018","2018","Thousand","2795"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2019","2019","Thousand","2800"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2009","2009","Thousand","14348"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2010","2010","Thousand","11922"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2011","2011","Thousand","11176"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2012","2012","Thousand","9736"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2013","2013","Thousand","10480"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2014","2014","Thousand","11545"
