"Statistic Label","Month","Residency","Expenditure Type","UNIT","VALUE"
"Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","Accommodation","Euro Million","126.1"
"Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","Day-to-Day Expenditure","Euro Million","91.7"
"Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","All Travel Expenditure","Euro Million","375.6"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","Fare","Euro Million","19.7"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","Prepayments","Euro Million","5.4"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","Accommodation","Euro Million","13.7"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","Day-to-Day Expenditure","Euro Million","41.2"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","All Travel Expenditure","Euro Million","80"
"Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","Fare","Euro Million","262.9"
"Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","Prepayments","Euro Million","45.6"
"Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","Accommodation","Euro Million","315.5"
"Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","Day-to-Day Expenditure","Euro Million","372.2"
"Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","All Travel Expenditure","Euro Million","996.1"
"Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Fare","Euro Million","35.7"
"Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","4.6"
"Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","50.5"
"Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","68.7"
"Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","159.5"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","Fare","Euro Million","39.1"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","Prepayments","Euro Million","6.8"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","Accommodation","Euro Million","88.2"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","Day-to-Day Expenditure","Euro Million","88.3"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","All Travel Expenditure","Euro Million","222.5"
"Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","Fare","Euro Million","103"
"Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","Prepayments","Euro Million","18.7"
"Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","Accommodation","Euro Million","118.4"
"Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","Day-to-Day Expenditure","Euro Million","88.8"
"Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","All Travel Expenditure","Euro Million","328.9"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","Fare","Euro Million","22.2"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","Prepayments","Euro Million","3.5"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","Accommodation","Euro Million","25.1"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","Day-to-Day Expenditure","Euro Million","38.3"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","All Travel Expenditure","Euro Million","89.2"
"Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","Fare","Euro Million","200.1"
"Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","Prepayments","Euro Million","33.6"
"Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","Accommodation","Euro Million","282.2"
"Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","Day-to-Day Expenditure","Euro Million","284.2"
"Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","All Travel Expenditure","Euro Million","800.1"
"Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Fare","Euro Million","28"
"Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","4.2"
"Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","37"
"Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","52.9"
"Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","122.1"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","Fare","Euro Million","36.5"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","Prepayments","Euro Million","5.4"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","Accommodation","Euro Million","69.4"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","Day-to-Day Expenditure","Euro Million","75.9"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","All Travel Expenditure","Euro Million","187.2"
"Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","Fare","Euro Million","99.8"
"Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","Prepayments","Euro Million","18.2"
"Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","Accommodation","Euro Million","107.4"
"Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","Day-to-Day Expenditure","Euro Million","87.9"
"Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","All Travel Expenditure","Euro Million","313.4"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","Fare","Euro Million","15"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","Prepayments","Euro Million","2"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","Accommodation","Euro Million","24.2"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","Day-to-Day Expenditure","Euro Million","31.2"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","All Travel Expenditure","Euro Million","72.5"
"Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","Fare","Euro Million","179.3"
"Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","Prepayments","Euro Million","29.8"
"Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","Accommodation","Euro Million","238.1"
"Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","Day-to-Day Expenditure","Euro Million","247.9"
"Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","All Travel Expenditure","Euro Million","695.1"
"Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Fare","Euro Million","24.2"
"Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","2.4"
"Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","28.9"
"Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","47.8"
"Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","103.3"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","Fare","Euro Million","27.4"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","Prepayments","Euro Million","2.9"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","Accommodation","Euro Million","51.5"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","Day-to-Day Expenditure","Euro Million","61.6"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","All Travel Expenditure","Euro Million","143.4"
"Expenditure of Overnight Foreign Visitors","2023 November","USA & Canada","Fare","Euro Million","43.8"
"Expenditure of Overnight Foreign Visitors","2023 November","USA & Canada","Prepayments","Euro Million","6.4"
"Expenditure of Overnight Foreign Visitors","2023 November","USA & Canada","Accommodation","Euro Million","47.4"
"Expenditure of Overnight Foreign Visitors","2023 November","USA & Canada","Day-to-Day Expenditure","Euro Million","49.5"
"Expenditure of Overnight Foreign Visitors","2023 November","USA & Canada","All Travel Expenditure","Euro Million","147.1"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Residencies","Fare","Euro Million","11.9"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Residencies","Prepayments","Euro Million","0.5"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Residencies","Accommodation","Euro Million","12"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Residencies","Day-to-Day Expenditure","Euro Million","22.9"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Residencies","All Travel Expenditure","Euro Million","47.3"
"Expenditure of Overnight Foreign Visitors","2023 November","All Residencies","Fare","Euro Million","107.3"
"Expenditure of Overnight Foreign Visitors","2023 November","All Residencies","Prepayments","Euro Million","12.3"
"Expenditure of Overnight Foreign Visitors","2023 November","All Residencies","Accommodation","Euro Million","139.7"
"Expenditure of Overnight Foreign Visitors","2023 November","All Residencies","Day-to-Day Expenditure","Euro Million","181.8"
"Expenditure of Overnight Foreign Visitors","2023 November","All Residencies","All Travel Expenditure","Euro Million","441.1"
"Expenditure of Overnight Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","Fare","Euro Million","25.8"
"Expenditure of Overnight Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","1.3"
"Expenditure of Overnight Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","28.2"
"Expenditure of Overnight Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","52.5"
"Expenditure of Overnight Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","107.7"
"Expenditure of Overnight Foreign Visitors","2023 December","Other Europe (3)","Fare","Euro Million","28.2"
"Expenditure of Overnight Foreign Visitors","2023 December","Other Europe (3)","Prepayments","Euro Million","5.1"
"Expenditure of Overnight Foreign Visitors","2023 December","Other Europe (3)","Accommodation","Euro Million","87.3"
"Expenditure of Overnight Foreign Visitors","2023 December","Other Europe (3)","Day-to-Day Expenditure","Euro Million","89.4"
"Expenditure of Overnight Foreign Visitors","2023 December","Other Europe (3)","All Travel Expenditure","Euro Million","209.9"
"Expenditure of Overnight Foreign Visitors","2023 December","USA & Canada","Fare","Euro Million","34.3"
"Expenditure of Overnight Foreign Visitors","2023 December","USA & Canada","Prepayments","Euro Million","5.8"
"Expenditure of Overnight Foreign Visitors","2023 December","USA & Canada","Accommodation","Euro Million","41.4"
"Expenditure of Overnight Foreign Visitors","2023 December","USA & Canada","Day-to-Day Expenditure","Euro Million","39.9"
"Expenditure of Overnight Foreign Visitors","2023 December","USA & Canada","All Travel Expenditure","Euro Million","121.4"
"Expenditure of Overnight Foreign Visitors","2023 December","Other Residencies","Fare","Euro Million","13.3"
"Expenditure of Overnight Foreign Visitors","2023 December","Other Residencies","Prepayments","Euro Million","23"
"Expenditure of Overnight Foreign Visitors","2023 December","Other Residencies","Accommodation","Euro Million","16.2"
"Expenditure of Overnight Foreign Visitors","2023 December","Other Residencies","Day-to-Day Expenditure","Euro Million","22.9"
"Expenditure of Overnight Foreign Visitors","2023 December","Other Residencies","All Travel Expenditure","Euro Million","75.4"
"Expenditure of Overnight Foreign Visitors","2023 December","All Residencies","Fare","Euro Million","101.6"
"Expenditure of Overnight Foreign Visitors","2023 December","All Residencies","Prepayments","Euro Million","35.1"
"Expenditure of Overnight Foreign Visitors","2023 December","All Residencies","Accommodation","Euro Million","173.2"
"Expenditure of Overnight Foreign Visitors","2023 December","All Residencies","Day-to-Day Expenditure","Euro Million","204.6"
