"Area of Residence","Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"All Countries","All reasons for journey","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1513"
"All Countries","All reasons for journey","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"All Countries","All reasons for journey","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1824"
"All Countries","All reasons for journey","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"All Countries","All reasons for journey","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1001"
"All Countries","All reasons for journey","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"All Countries","Holiday/leisure/recreation","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","180"
"All Countries","Holiday/leisure/recreation","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"All Countries","Holiday/leisure/recreation","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","453"
"All Countries","Holiday/leisure/recreation","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"All Countries","Holiday/leisure/recreation","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","608"
"All Countries","Holiday/leisure/recreation","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
"All Countries","Holiday/leisure/recreation","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","272"
"All Countries","Holiday/leisure/recreation","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"All Countries","Holiday/leisure/recreation","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","212"
"All Countries","Holiday/leisure/recreation","2013Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
