"Area of Residence","Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"United States and Canada","Other reason for journey","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"United States and Canada","Other reason for journey","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"United States and Canada","Other reason for journey","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"United States and Canada","Other reason for journey","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","25"
"United States and Canada","Other reason for journey","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.3"
"United States and Canada","Other reason for journey","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"United States and Canada","Other reason for journey","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"United States and Canada","Other reason for journey","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"United States and Canada","Other reason for journey","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","23"
"United States and Canada","Other reason for journey","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"United States and Canada","Other reason for journey","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"United States and Canada","Other reason for journey","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","14"
"United States and Canada","Other reason for journey","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"United States and Canada","Other reason for journey","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"United States and Canada","Other reason for journey","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"United States and Canada","Other reason for journey","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"United States and Canada","Other reason for journey","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.1"
"United States and Canada","Other reason for journey","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"United States and Canada","Other reason for journey","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"United States and Canada","Other reason for journey","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"United States and Canada","Other reason for journey","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"United States and Canada","Other reason for journey","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"United States and Canada","Other reason for journey","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.7"
"United States and Canada","Other reason for journey","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","13"
"United States and Canada","Other reason for journey","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"United States and Canada","Other reason for journey","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"United States and Canada","Other reason for journey","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"United States and Canada","Other reason for journey","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"United States and Canada","Other reason for journey","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","1.8"
"United States and Canada","Other reason for journey","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","14"
"United States and Canada","Other reason for journey","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"United States and Canada","Other reason for journey","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"United States and Canada","Other reason for journey","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","49"
"United States and Canada","Other reason for journey","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"Great Britain","All reasons for journey","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain","All reasons for journey","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","168"
"Great Britain","All reasons for journey","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","48"
"Great Britain","All reasons for journey","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"Great Britain","All reasons for journey","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","218"
"Great Britain","All reasons for journey","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","40"
"Great Britain","All reasons for journey","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Great Britain","All reasons for journey","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","246"
"Great Britain","All reasons for journey","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","38"
"Great Britain","All reasons for journey","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"Great Britain","All reasons for journey","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","186"
"Great Britain","All reasons for journey","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","44"
"Great Britain","All reasons for journey","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.5"
"Great Britain","All reasons for journey","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","176"
"Great Britain","All reasons for journey","2013Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","45"
"Great Britain","All reasons for journey","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain","All reasons for journey","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","194"
"Great Britain","All reasons for journey","2013Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","38"
"Great Britain","All reasons for journey","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"Great Britain","All reasons for journey","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","281"
"Great Britain","All reasons for journey","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","39"
"Great Britain","All reasons for journey","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"Great Britain","All reasons for journey","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","196"
"Great Britain","All reasons for journey","2013Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","45"
"Great Britain","All reasons for journey","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain","All reasons for journey","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","171"
"Great Britain","All reasons for journey","2014Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","46"
"Great Britain","All reasons for journey","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"Great Britain","All reasons for journey","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","223"
"Great Britain","All reasons for journey","2014Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","39"
"Great Britain","All reasons for journey","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"Great Britain","All reasons for journey","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","280"
"Great Britain","All reasons for journey","2014Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","37"
"Great Britain","All reasons for journey","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"Great Britain","All reasons for journey","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","212"
"Great Britain","All reasons for journey","2014Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","45"
"Great Britain","All reasons for journey","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"Great Britain","All reasons for journey","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","181"
"Great Britain","All reasons for journey","2015Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","47"
"Great Britain","All reasons for journey","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"Great Britain","All reasons for journey","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","246"
"Great Britain","All reasons for journey","2015Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","37"
"Great Britain","All reasons for journey","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"Great Britain","All reasons for journey","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","309"
"Great Britain","All reasons for journey","2015Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","37"
"Great Britain","All reasons for journey","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.6"
"Great Britain","All reasons for journey","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","236"
"Great Britain","All reasons for journey","2015Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","44"
"Great Britain","All reasons for journey","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.8"
"Great Britain","All reasons for journey","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","214"
"Great Britain","All reasons for journey","2016Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","47"
"Great Britain","All reasons for journey","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4"
"Great Britain","All reasons for journey","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","269"
"Great Britain","All reasons for journey","2016Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","38"
"Great Britain","All reasons for journey","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Great Britain","All reasons for journey","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","337"
"Great Britain","All reasons for journey","2016Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","37"
"Great Britain","All reasons for journey","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.8"
"Great Britain","All reasons for journey","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","241"
"Great Britain","All reasons for journey","2016Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","42"
"Great Britain","All reasons for journey","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4"
"Great Britain","All reasons for journey","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"Great Britain","All reasons for journey","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","45"
"Great Britain","All reasons for journey","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain","All reasons for journey","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","267"
"Great Britain","All reasons for journey","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","34"
"Great Britain","All reasons for journey","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"Great Britain","All reasons for journey","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","303"
"Great Britain","All reasons for journey","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","34"
"Great Britain","All reasons for journey","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"Great Britain","All reasons for journey","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","239"
"Great Britain","All reasons for journey","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","40"
"Great Britain","All reasons for journey","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"Great Britain","All reasons for journey","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","206"
"Great Britain","All reasons for journey","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","42"
"Great Britain","All reasons for journey","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"Great Britain","All reasons for journey","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","262"
"Great Britain","All reasons for journey","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","33"
"Great Britain","All reasons for journey","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"Great Britain","All reasons for journey","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","292"
"Great Britain","All reasons for journey","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","31"
"Great Britain","All reasons for journey","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.6"
"Great Britain","All reasons for journey","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","221"
"Great Britain","All reasons for journey","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","37"
"Great Britain","All reasons for journey","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.7"
"Great Britain","All reasons for journey","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","195"
"Great Britain","All reasons for journey","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","40"
"Great Britain","All reasons for journey","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"Great Britain","All reasons for journey","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","254"
"Great Britain","All reasons for journey","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","32"
"Great Britain","All reasons for journey","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"Great Britain","All reasons for journey","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","305"
"Great Britain","All reasons for journey","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","32"
"Great Britain","All reasons for journey","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.5"
"Great Britain","All reasons for journey","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","223"
"Great Britain","All reasons for journey","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","38"
"Great Britain","Holiday/leisure/recreation","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"Great Britain","Holiday/leisure/recreation","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","52"
"Great Britain","Holiday/leisure/recreation","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","42"
"Great Britain","Holiday/leisure/recreation","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"Great Britain","Holiday/leisure/recreation","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","82"
"Great Britain","Holiday/leisure/recreation","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","29"
"Great Britain","Holiday/leisure/recreation","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
"Great Britain","Holiday/leisure/recreation","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","101"
"Great Britain","Holiday/leisure/recreation","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"Great Britain","Holiday/leisure/recreation","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.5"
"Great Britain","Holiday/leisure/recreation","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","60"
"Great Britain","Holiday/leisure/recreation","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","35"
"Great Britain","Holiday/leisure/recreation","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4"
"Great Britain","Holiday/leisure/recreation","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","51"
"Great Britain","Holiday/leisure/recreation","2013Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","34"
"Great Britain","Holiday/leisure/recreation","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"Great Britain","Holiday/leisure/recreation","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","83"
"Great Britain","Holiday/leisure/recreation","2013Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","29"
"Great Britain","Holiday/leisure/recreation","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"Great Britain","Holiday/leisure/recreation","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","120"
"Great Britain","Holiday/leisure/recreation","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"Great Britain","Holiday/leisure/recreation","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"Great Britain","Holiday/leisure/recreation","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","58"
"Great Britain","Holiday/leisure/recreation","2013Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","34"
"Great Britain","Holiday/leisure/recreation","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.7"
"Great Britain","Holiday/leisure/recreation","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","60"
"Great Britain","Holiday/leisure/recreation","2014Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","40"
"Great Britain","Holiday/leisure/recreation","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"Great Britain","Holiday/leisure/recreation","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","81"
"Great Britain","Holiday/leisure/recreation","2014Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"Great Britain","Holiday/leisure/recreation","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
"Great Britain","Holiday/leisure/recreation","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","117"
"Great Britain","Holiday/leisure/recreation","2014Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","25"
"Great Britain","Holiday/leisure/recreation","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.7"
"Great Britain","Holiday/leisure/recreation","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","80"
"Great Britain","Holiday/leisure/recreation","2014Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","34"
"Great Britain","Holiday/leisure/recreation","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.8"
"Great Britain","Holiday/leisure/recreation","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","61"
"Great Britain","Holiday/leisure/recreation","2015Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","39"
"Great Britain","Holiday/leisure/recreation","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"Great Britain","Holiday/leisure/recreation","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","111"
"Great Britain","Holiday/leisure/recreation","2015Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"Great Britain","Holiday/leisure/recreation","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"Great Britain","Holiday/leisure/recreation","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","141"
"Great Britain","Holiday/leisure/recreation","2015Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","26"
"Great Britain","Holiday/leisure/recreation","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.6"
"Great Britain","Holiday/leisure/recreation","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","90"
"Great Britain","Holiday/leisure/recreation","2015Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","36"
"Great Britain","Holiday/leisure/recreation","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.5"
"Great Britain","Holiday/leisure/recreation","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","94"
"Great Britain","Holiday/leisure/recreation","2016Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","44"
"Great Britain","Holiday/leisure/recreation","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"Great Britain","Holiday/leisure/recreation","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","114"
"Great Britain","Holiday/leisure/recreation","2016Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","29"
"Great Britain","Holiday/leisure/recreation","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"Great Britain","Holiday/leisure/recreation","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","160"
"Great Britain","Holiday/leisure/recreation","2016Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","26"
"Great Britain","Holiday/leisure/recreation","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.6"
"Great Britain","Holiday/leisure/recreation","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","87"
"Great Britain","Holiday/leisure/recreation","2016Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","33"
"Great Britain","Holiday/leisure/recreation","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.4"
"Great Britain","Holiday/leisure/recreation","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","74"
"Great Britain","Holiday/leisure/recreation","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","38"
"Great Britain","Holiday/leisure/recreation","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"Great Britain","Holiday/leisure/recreation","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","118"
"Great Britain","Holiday/leisure/recreation","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"Great Britain","Holiday/leisure/recreation","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"Great Britain","Holiday/leisure/recreation","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","129"
"Great Britain","Holiday/leisure/recreation","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"Great Britain","Holiday/leisure/recreation","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.7"
"Great Britain","Holiday/leisure/recreation","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","89"
"Great Britain","Holiday/leisure/recreation","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","31"
"Great Britain","Holiday/leisure/recreation","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.5"
"Great Britain","Holiday/leisure/recreation","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","83"
"Great Britain","Holiday/leisure/recreation","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","35"
"Great Britain","Holiday/leisure/recreation","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"Great Britain","Holiday/leisure/recreation","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","119"
"Great Britain","Holiday/leisure/recreation","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"Great Britain","Holiday/leisure/recreation","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Great Britain","Holiday/leisure/recreation","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","130"
"Great Britain","Holiday/leisure/recreation","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"Great Britain","Holiday/leisure/recreation","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.4"
"Great Britain","Holiday/leisure/recreation","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","89"
"Great Britain","Holiday/leisure/recreation","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"Great Britain","Holiday/leisure/recreation","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.3"
"Great Britain","Holiday/leisure/recreation","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","77"
"Great Britain","Holiday/leisure/recreation","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","33"
"Great Britain","Holiday/leisure/recreation","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain","Holiday/leisure/recreation","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","115"
"Great Britain","Holiday/leisure/recreation","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"Great Britain","Holiday/leisure/recreation","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"Great Britain","Holiday/leisure/recreation","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","141"
"Great Britain","Holiday/leisure/recreation","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"Great Britain","Holiday/leisure/recreation","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.6"
"Great Britain","Holiday/leisure/recreation","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","90"
"Great Britain","Holiday/leisure/recreation","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"Great Britain","Visit to friends/relatives","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"Great Britain","Visit to friends/relatives","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","53"
"Great Britain","Visit to friends/relatives","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","56"
"Great Britain","Visit to friends/relatives","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Great Britain","Visit to friends/relatives","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","70"
"Great Britain","Visit to friends/relatives","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","62"
"Great Britain","Visit to friends/relatives","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"Great Britain","Visit to friends/relatives","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","86"
"Great Britain","Visit to friends/relatives","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","68"
"Great Britain","Visit to friends/relatives","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Great Britain","Visit to friends/relatives","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","64"
"Great Britain","Visit to friends/relatives","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","60"
