"Statistic Label","Area of Residence","Reason for Journey","Quarter","UNIT","VALUE"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2014Q3","%","81"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2014Q4","%","80"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2015Q1","%","85"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2015Q2","%","81"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2015Q3","%","85"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2015Q4","%","80"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2016Q1","%","81"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2016Q2","%","85"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2016Q3","%","77"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2016Q4","%","79"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2017Q1","%","83"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2017Q2","%","73"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2017Q3","%","81"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2017Q4","%","73"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2018Q1","%","75"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2018Q2","%","74"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2018Q3","%","73"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2018Q4","%","78"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2019Q1","%","81"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2019Q2","%","71"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2019Q3","%","72"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2019Q4","%","78"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2012Q1","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2012Q2","%","27"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2012Q3","%","33"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2012Q4","%","37"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2013Q1","%","30"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2013Q2","%","19"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2013Q3","%","33"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2013Q4","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2014Q1","%","36"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2014Q2","%","33"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2014Q3","%","33"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2014Q4","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2015Q1","%","36"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2015Q2","%","32"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2015Q3","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2015Q4","%","37"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2016Q1","%","37"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2016Q2","%","31"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2016Q3","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2016Q4","%","35"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2017Q1","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2017Q2","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2017Q3","%","31"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2017Q4","%","35"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2018Q1","%","30"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2018Q2","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2018Q3","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2018Q4","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2019Q1","%","27"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2019Q2","%","29"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2019Q3","%","30"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2019Q4","%","29"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2012Q1","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2012Q2","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2012Q3","%","20"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2012Q4","%","29"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2013Q1","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2013Q2","%","17"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2013Q3","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2013Q4","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2014Q1","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2014Q2","%","20"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2014Q3","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2014Q4","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2015Q1","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2015Q2","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2015Q3","%","19"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2015Q4","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2016Q1","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2016Q2","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2016Q3","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2016Q4","%","20"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2017Q1","%","20"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2017Q2","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2017Q3","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2017Q4","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2018Q1","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2018Q2","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2018Q3","%","29"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2018Q4","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2019Q1","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2019Q2","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2019Q3","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2019Q4","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2012Q1","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2012Q2","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2012Q3","%","16"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2012Q4","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2013Q1","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2013Q2","%","12"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2013Q3","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2013Q4","%","16"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2014Q1","%","16"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2014Q2","%","9"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2014Q3","%","16"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2014Q4","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2015Q1","%","20"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2015Q2","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2015Q3","%","13"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2015Q4","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2016Q1","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2016Q2","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2016Q3","%","20"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2016Q4","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2017Q1","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2017Q2","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2017Q3","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2017Q4","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2018Q1","%","30"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2018Q2","%","13"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2018Q3","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2018Q4","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2019Q1","%","19"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2019Q2","%","20"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2019Q3","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2019Q4","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2012Q1","%","27"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2012Q2","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2012Q3","%","13"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2012Q4","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2013Q1","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2013Q2","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2013Q3","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2013Q4","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2014Q1","%","13"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2014Q2","%","16"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2014Q3","%","17"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2014Q4","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2015Q1","%","27"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2015Q2","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2015Q3","%","19"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2015Q4","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2016Q1","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2016Q2","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2016Q3","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2016Q4","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2017Q1","%","17"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2017Q2","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2017Q3","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2017Q4","%","17"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2018Q1","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2018Q2","%","11"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2018Q3","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2018Q4","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2019Q1","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2019Q2","%","16"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2019Q3","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2019Q4","%","17"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2012Q1","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2012Q2","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2012Q3","%","9"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2012Q4","%","16"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2013Q1","%","17"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2013Q2","%","9"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2013Q3","%","12"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2013Q4","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2014Q1","%","8"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2014Q2","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2014Q3","%","10"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2014Q4","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2015Q1","%","11"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2015Q2","%","13"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2015Q3","%","10"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2015Q4","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2016Q1","%","13"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2016Q2","%","9"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2016Q3","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2016Q4","%","13"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2017Q1","%","11"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2017Q2","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2017Q3","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2017Q4","%","13"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2018Q1","%","13"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2018Q2","%","16"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2018Q3","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2018Q4","%","13"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2019Q1","%","12"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2019Q2","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2019Q3","%","17"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2019Q4","%","11"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2012Q1","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2012Q2","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2012Q3","%","33"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2012Q4","%","37"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2013Q1","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2013Q2","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2013Q3","%","35"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2013Q4","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2014Q1","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2014Q2","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2014Q3","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2014Q4","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2015Q1","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2015Q2","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2015Q3","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2015Q4","%","27"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2016Q1","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2016Q2","%","17"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2016Q3","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2016Q4","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2017Q1","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2017Q2","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2017Q3","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2017Q4","%","20"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2018Q1","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2018Q2","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2018Q3","%","31"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2018Q4","%","30"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2019Q1","%","29"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2019Q2","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2019Q3","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2019Q4","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2012Q1","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2012Q2","%","31"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2012Q3","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2012Q4","%","17"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2013Q1","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2013Q2","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2013Q3","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2013Q4","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2014Q1","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2014Q2","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2014Q3","%","32"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2014Q4","%","30"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2015Q1","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2015Q2","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2015Q3","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2015Q4","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2016Q1","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2016Q2","%","40"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2016Q3","%","35"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2016Q4","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2017Q1","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2017Q2","%","40"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2017Q3","%","37"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2017Q4","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2018Q1","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2018Q2","%","42"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2018Q3","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2018Q4","%","35"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2019Q1","%","37"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2019Q2","%","44"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2019Q3","%","42"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2019Q4","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2012Q1","%","29"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2012Q2","%","47"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2012Q3","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2012Q4","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2013Q1","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2013Q2","%","63"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2013Q3","%","32"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2013Q4","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2014Q1","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2014Q2","%","46"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2014Q3","%","45"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2014Q4","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2015Q1","%","30"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2015Q2","%","48"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2015Q3","%","46"
