"Statistic Label","Area of Residence","Reason for Journey","Quarter","UNIT","VALUE"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2015Q3","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2015Q4","%","49"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2016Q1","%","51"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2016Q2","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2016Q3","%","42"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2016Q4","%","60"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2017Q1","%","46"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2017Q2","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2017Q3","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2017Q4","%","52"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2018Q1","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2018Q2","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2018Q3","%","36"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2018Q4","%","46"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2019Q1","%","42"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2019Q2","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2019Q3","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2019Q4","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2012Q1","%","53"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2012Q2","%","58"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2012Q3","%","71"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2012Q4","%","58"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2013Q1","%","57"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2013Q2","%","59"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2013Q3","%","57"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2013Q4","%","58"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2014Q1","%","68"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2014Q2","%","55"
