"Statistic Label","Type of Expenditure","Quarter","UNIT","VALUE"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2015Q3","Euro Million","1680"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2015Q4","Euro Million","1050"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2016Q1","Euro Million","971"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2016Q2","Euro Million","1243"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2016Q3","Euro Million","1771"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2016Q4","Euro Million","1118"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2017Q1","Euro Million","952"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2017Q2","Euro Million","1281"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2017Q3","Euro Million","1875"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2017Q4","Euro Million","1107"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2018Q1","Euro Million","1047"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2018Q2","Euro Million","1438"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2018Q3","Euro Million","1931"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2018Q4","Euro Million","1223"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2019Q1","Euro Million","1260"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2019Q2","Euro Million","1689"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2019Q3","Euro Million","2223"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2019Q4","Euro Million","1308"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2012Q1","Euro Million","-200"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2012Q2","Euro Million","-6"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2012Q3","Euro Million","-351"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2012Q4","Euro Million","-83"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2013Q1","Euro Million","-140"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2013Q2","Euro Million","103"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2013Q3","Euro Million","-19"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2013Q4","Euro Million","-1"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2014Q1","Euro Million","-24"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2014Q2","Euro Million","198"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2014Q3","Euro Million","175"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2014Q4","Euro Million","0"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2015Q1","Euro Million","-14"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2015Q2","Euro Million","396"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2015Q3","Euro Million","357"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2015Q4","Euro Million","98"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2016Q1","Euro Million","-45"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2016Q2","Euro Million","412"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2016Q3","Euro Million","470"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2016Q4","Euro Million","124"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2017Q1","Euro Million","-7"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2017Q2","Euro Million","595"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2017Q3","Euro Million","412"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2017Q4","Euro Million","270"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2018Q1","Euro Million","32"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2018Q2","Euro Million","532"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2018Q3","Euro Million","494"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2018Q4","Euro Million","177"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2019Q1","Euro Million","-231"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2019Q2","Euro Million","323"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2019Q3","Euro Million","225"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2019Q4","Euro Million","70"
