"Type of Trip","Quarter","Statistic Label","UNIT","VALUE"
"All trip types","2016Q1","Overseas Trips by Irish Residents","Thousand","1478"
"All trip types","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","693"
"All trip types","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2599"
"All trip types","2016Q2","Overseas Trips by Irish Residents","Thousand","1975"
"All trip types","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1261"
"All trip types","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3062"
"All trip types","2016Q3","Overseas Trips by Irish Residents","Thousand","2253"
"All trip types","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1693"
"All trip types","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2139"
"All trip types","2016Q4","Overseas Trips by Irish Residents","Thousand","1699"
"All trip types","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","930"
"All trip types","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1796"
"All trip types","2017Q1","Overseas Trips by Irish Residents","Thousand","1569"
"All trip types","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","684"
"All trip types","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2769"
"All trip types","2017Q2","Overseas Trips by Irish Residents","Thousand","2119"
"All trip types","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1408"
"All trip types","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3096"
"All trip types","2017Q3","Overseas Trips by Irish Residents","Thousand","2495"
"All trip types","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1736"
"All trip types","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2271"
"All trip types","2017Q4","Overseas Trips by Irish Residents","Thousand","1756"
"All trip types","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1046"
"All trip types","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1921"
"All trip types","2018Q1","Overseas Trips by Irish Residents","Thousand","1599"
"All trip types","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","795"
"All trip types","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2952"
"All trip types","2018Q2","Overseas Trips by Irish Residents","Thousand","2248"
"All trip types","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1475"
"All trip types","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3331"
"All trip types","2018Q3","Overseas Trips by Irish Residents","Thousand","2571"
"All trip types","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1832"
"All trip types","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2413"
"All trip types","2018Q4","Overseas Trips by Irish Residents","Thousand","1858"
"All trip types","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1047"
"All trip types","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","2027"
"All trip types","2019Q1","Overseas Trips by Irish Residents","Thousand","1727"
"All trip types","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","763"
"All trip types","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","3022"
"All trip types","2019Q2","Overseas Trips by Irish Residents","Thousand","2404"
"All trip types","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1513"
"All trip types","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3334"
"All trip types","2019Q3","Overseas Trips by Irish Residents","Thousand","2774"
"All trip types","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1824"
"All trip types","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2425"
"All trip types","2019Q4","Overseas Trips by Irish Residents","Thousand","1910"
"All trip types","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1001"
"Same-day trips","2004Q1","Overseas Trips to Ireland by Non-Residents","Thousand",""
"Same-day trips","2004Q1","Overseas Trips by Irish Residents","Thousand",""
"Same-day trips","2004Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"Same-day trips","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","101"
"Same-day trips","2012Q1","Overseas Trips by Irish Residents","Thousand","29"
"Same-day trips","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"Same-day trips","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","135"
"Same-day trips","2012Q2","Overseas Trips by Irish Residents","Thousand","38"
"Same-day trips","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"Same-day trips","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","122"
"Same-day trips","2012Q3","Overseas Trips by Irish Residents","Thousand","42"
"Same-day trips","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"Same-day trips","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","121"
"Same-day trips","2012Q4","Overseas Trips by Irish Residents","Thousand","38"
"Same-day trips","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"Same-day trips","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","109"
"Same-day trips","2013Q1","Overseas Trips by Irish Residents","Thousand","30"
"Same-day trips","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"Same-day trips","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","158"
"Same-day trips","2013Q2","Overseas Trips by Irish Residents","Thousand","31"
"Same-day trips","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"Same-day trips","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","179"
