"Statistic Label","Type of Accommodation Used","Area of Residence","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2016Q3","Thousand","601"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2016Q4","Thousand","480"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2017Q1","Thousand","454"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2017Q2","Thousand","423"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2017Q3","Thousand","612"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2017Q4","Thousand","789"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2018Q1","Thousand","645"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2018Q2","Thousand","380"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2018Q3","Thousand","461"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2018Q4","Thousand","307"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2019Q1","Thousand","458"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2019Q2","Thousand","498"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2019Q3","Thousand","377"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2019Q4","Thousand","460"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2012Q1","Thousand","3085"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2012Q2","Thousand","3031"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2012Q3","Thousand","4330"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2012Q4","Thousand","2885"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2013Q1","Thousand","3139"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2013Q2","Thousand","2866"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2013Q3","Thousand","5121"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2013Q4","Thousand","3209"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2014Q1","Thousand","3423"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2014Q2","Thousand","4023"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2014Q3","Thousand","5415"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2014Q4","Thousand","3235"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2015Q1","Thousand","3378"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2015Q2","Thousand","3591"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2015Q3","Thousand","5430"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2015Q4","Thousand","3395"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2016Q1","Thousand","3797"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2016Q2","Thousand","3870"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2016Q3","Thousand","5716"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2016Q4","Thousand","3836"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2017Q1","Thousand","3730"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2017Q2","Thousand","3733"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2017Q3","Thousand","5666"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2017Q4","Thousand","3840"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2018Q1","Thousand","3588"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2018Q2","Thousand","4082"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2018Q3","Thousand","5745"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2018Q4","Thousand","3743"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2019Q1","Thousand","3750"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2019Q2","Thousand","3972"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2019Q3","Thousand","5658"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2019Q4","Thousand","3673"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2012Q1","Thousand","1146"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2012Q2","Thousand","1370"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2012Q3","Thousand","1995"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2012Q4","Thousand","1191"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2013Q1","Thousand","1268"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2013Q2","Thousand","1188"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2013Q3","Thousand","2343"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2013Q4","Thousand","1397"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2014Q1","Thousand","1376"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2014Q2","Thousand","1465"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2014Q3","Thousand","2253"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2014Q4","Thousand","1323"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2015Q1","Thousand","1378"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2015Q2","Thousand","1378"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2015Q3","Thousand","2092"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2015Q4","Thousand","1298"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2016Q1","Thousand","1353"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2016Q2","Thousand","1469"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2016Q3","Thousand","2393"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2016Q4","Thousand","1458"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2017Q1","Thousand","1425"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2017Q2","Thousand","1415"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2017Q3","Thousand","2241"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2017Q4","Thousand","1536"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2018Q1","Thousand","1268"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2018Q2","Thousand","1618"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2018Q3","Thousand","2145"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2018Q4","Thousand","1364"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2019Q1","Thousand","1298"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2019Q2","Thousand","1494"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2019Q3","Thousand","2142"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2019Q4","Thousand","1403"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2012Q1","Thousand","1093"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2012Q2","Thousand","906"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2012Q3","Thousand","1321"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2012Q4","Thousand","1040"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2013Q1","Thousand","1122"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2013Q2","Thousand","905"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2013Q3","Thousand","1369"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2013Q4","Thousand","1053"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2014Q1","Thousand","1159"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2014Q2","Thousand","1575"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2014Q3","Thousand","1590"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2014Q4","Thousand","1079"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2015Q1","Thousand","1174"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2015Q2","Thousand","1320"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2015Q3","Thousand","1628"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2015Q4","Thousand","1168"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2016Q1","Thousand","1453"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2016Q2","Thousand","1358"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2016Q3","Thousand","1644"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2016Q4","Thousand","1432"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2017Q1","Thousand","1167"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2017Q2","Thousand","1190"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2017Q3","Thousand","1532"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2017Q4","Thousand","1247"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2018Q1","Thousand","1234"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2018Q2","Thousand","1428"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2018Q3","Thousand","1601"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2018Q4","Thousand","1352"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2019Q1","Thousand","1169"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2019Q2","Thousand","1447"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2019Q3","Thousand","1666"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2019Q4","Thousand","1312"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2012Q1","Thousand","361"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2012Q2","Thousand","342"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2012Q3","Thousand","389"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2012Q4","Thousand","337"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2013Q1","Thousand","284"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2013Q2","Thousand","357"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2013Q3","Thousand","670"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2013Q4","Thousand","336"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2014Q1","Thousand","356"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2014Q2","Thousand","379"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2014Q3","Thousand","672"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2014Q4","Thousand","314"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2015Q1","Thousand","311"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2015Q2","Thousand","364"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2015Q3","Thousand","710"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2015Q4","Thousand","393"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2016Q1","Thousand","364"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2016Q2","Thousand","415"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2016Q3","Thousand","800"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2016Q4","Thousand","457"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2017Q1","Thousand","432"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2017Q2","Thousand","439"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2017Q3","Thousand","859"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2017Q4","Thousand","446"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2018Q1","Thousand","438"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2018Q2","Thousand","457"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2018Q3","Thousand","721"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2018Q4","Thousand","343"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2019Q1","Thousand","489"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2019Q2","Thousand","408"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2019Q3","Thousand","736"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2019Q4","Thousand","365"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2012Q1","Thousand","485"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2012Q2","Thousand","413"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2012Q3","Thousand","626"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2012Q4","Thousand","317"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2013Q1","Thousand","465"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2013Q2","Thousand","416"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2013Q3","Thousand","739"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2013Q4","Thousand","423"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2014Q1","Thousand","532"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2014Q2","Thousand","603"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2014Q3","Thousand","900"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2014Q4","Thousand","519"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2015Q1","Thousand","515"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2015Q2","Thousand","530"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2015Q3","Thousand","1000"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2015Q4","Thousand","537"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2016Q1","Thousand","626"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2016Q2","Thousand","628"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2016Q3","Thousand","879"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2016Q4","Thousand","490"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2017Q1","Thousand","707"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2017Q2","Thousand","688"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2017Q3","Thousand","1033"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2017Q4","Thousand","610"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2018Q1","Thousand","648"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2018Q2","Thousand","578"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2018Q3","Thousand","1277"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2018Q4","Thousand","684"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2019Q1","Thousand","795"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2019Q2","Thousand","624"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2019Q3","Thousand","1114"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2019Q4","Thousand","593"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2012Q1","Thousand","405"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2012Q2","Thousand","1127"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2012Q3","Thousand","1730"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2012Q4","Thousand","812"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2013Q1","Thousand","453"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2013Q2","Thousand","1145"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2013Q3","Thousand","2151"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2013Q4","Thousand","701"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2014Q1","Thousand","470"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2014Q2","Thousand","1458"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2014Q3","Thousand","2327"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2014Q4","Thousand","916"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2015Q1","Thousand","653"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2015Q2","Thousand","1820"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2015Q3","Thousand","3040"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2015Q4","Thousand","1217"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2016Q1","Thousand","798"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2016Q2","Thousand","2229"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2016Q3","Thousand","3602"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2016Q4","Thousand","1225"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2017Q1","Thousand","832"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2017Q2","Thousand","2518"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2017Q3","Thousand","3555"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2017Q4","Thousand","1689"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2018Q1","Thousand","1182"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2018Q2","Thousand","2876"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2018Q3","Thousand","3921"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2018Q4","Thousand","1596"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2019Q1","Thousand","979"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2019Q2","Thousand","2862"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2019Q3","Thousand","3659"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2019Q4","Thousand","1428"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2012Q1","Thousand","84"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2012Q2","Thousand","162"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2012Q3","Thousand","248"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2012Q4","Thousand","113"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2013Q1","Thousand","80"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2013Q2","Thousand","182"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2013Q3","Thousand","279"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2013Q4","Thousand","95"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2014Q1","Thousand","90"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2014Q2","Thousand","200"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2014Q3","Thousand","254"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2014Q4","Thousand","138"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2015Q1","Thousand","143"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2015Q2","Thousand","203"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2015Q3","Thousand","362"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2015Q4","Thousand","176"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2016Q1","Thousand","161"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2016Q2","Thousand","288"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2016Q3","Thousand","434"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2016Q4","Thousand","164"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2017Q1","Thousand","151"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2017Q2","Thousand","387"
