"Statistic Label","Type of Accommodation Used","Area of Residence","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2018Q2","Thousand","8443"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2018Q3","Thousand","10219"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2018Q4","Thousand","6673"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2019Q1","Thousand","5098"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2019Q2","Thousand","8896"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2019Q3","Thousand","9874"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2019Q4","Thousand","6487"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2012Q1","Thousand","1161"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2012Q2","Thousand","2618"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2012Q3","Thousand","3069"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2012Q4","Thousand","1840"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2013Q1","Thousand","1239"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2013Q2","Thousand","2788"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2013Q3","Thousand","3445"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2013Q4","Thousand","1972"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2014Q1","Thousand","1315"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2014Q2","Thousand","2752"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2014Q3","Thousand","3849"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2014Q4","Thousand","1918"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2015Q1","Thousand","1339"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2015Q2","Thousand","3612"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2015Q3","Thousand","4266"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2015Q4","Thousand","2441"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2016Q1","Thousand","1651"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2016Q2","Thousand","3462"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2016Q3","Thousand","4708"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2016Q4","Thousand","3192"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2017Q1","Thousand","1750"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2017Q2","Thousand","4387"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2017Q3","Thousand","5342"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2017Q4","Thousand","3047"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2018Q1","Thousand","2045"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2018Q2","Thousand","4428"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2018Q3","Thousand","5989"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2018Q4","Thousand","3386"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2019Q1","Thousand","2157"
