"Area of Residence","Quarter","Statistic Label","UNIT","VALUE"
"Germany","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","94"
"Germany","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","166"
"Germany","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"Germany","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","101"
"Germany","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","103"
"Germany","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Germany","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","54"
"Germany","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","83"
"Germany","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"Germany","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"Germany","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","171"
"Germany","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.7"
"Germany","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","122"
"Germany","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","189"
"Germany","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.1"
"Germany","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","124"
"Germany","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","115"
"Germany","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"Germany","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","51"
"Germany","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","86"
"Germany","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.1"
"Germany","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"Germany","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","196"
"Germany","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.4"
"Germany","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","146"
"Germany","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","214"
"Germany","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"Germany","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","144"
"Germany","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","133"
"Germany","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"Germany","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","66"
"Germany","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","104"
"Germany","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Germany","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","44"
"Germany","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","192"
"Germany","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Germany","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","122"
