"Area of Residence","Quarter","Statistic Label","UNIT","VALUE"
"Australia and New Zealand","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"Australia and New Zealand","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","51"
"Australia and New Zealand","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.1"
"Australia and New Zealand","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","45"
"Australia and New Zealand","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","69"
"Australia and New Zealand","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.8"
"Australia and New Zealand","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","67"
"Australia and New Zealand","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","39"
"Australia and New Zealand","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.7"
"Australia and New Zealand","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"Australia and New Zealand","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","31"
"Australia and New Zealand","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14"
"Australia and New Zealand","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"Australia and New Zealand","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","55"
"Australia and New Zealand","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.7"
"Australia and New Zealand","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","52"
"Australia and New Zealand","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","76"
"Australia and New Zealand","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.9"
"Australia and New Zealand","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","79"
"Australia and New Zealand","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","46"
"Australia and New Zealand","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.2"
"Australia and New Zealand","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","42"
"Australia and New Zealand","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","31"
"Australia and New Zealand","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.2"
"Australia and New Zealand","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"Australia and New Zealand","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","51"
"Australia and New Zealand","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.5"
"Australia and New Zealand","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","52"
"Australia and New Zealand","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","73"
"Australia and New Zealand","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.9"
"Australia and New Zealand","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","76"
"Australia and New Zealand","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","49"
"Australia and New Zealand","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.3"
"Australia and New Zealand","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","45"
"Australia and New Zealand","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","35"
"Australia and New Zealand","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.8"
"Australia and New Zealand","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"Australia and New Zealand","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","54"
"Australia and New Zealand","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.2"
"Australia and New Zealand","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","53"
"Australia and New Zealand","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","76"
"Australia and New Zealand","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.5"
"Australia and New Zealand","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","76"
"Australia and New Zealand","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","43"
"Australia and New Zealand","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.1"
"Australia and New Zealand","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"Australia and New Zealand","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","35"
"Australia and New Zealand","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.8"
"Australia and New Zealand","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"Australia and New Zealand","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","58"
"Australia and New Zealand","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12"
"Australia and New Zealand","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","56"
"Australia and New Zealand","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","85"
"Australia and New Zealand","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.8"
"Australia and New Zealand","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","83"
"Australia and New Zealand","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","50"
"Australia and New Zealand","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","11"
"Australia and New Zealand","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","44"
"Australia and New Zealand","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","33"
"Australia and New Zealand","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.3"
"Australia and New Zealand","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"Australia and New Zealand","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","58"
"Australia and New Zealand","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"Australia and New Zealand","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","54"
"Australia and New Zealand","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","87"
"Australia and New Zealand","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.5"
"Australia and New Zealand","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","83"
"Australia and New Zealand","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","47"
"Australia and New Zealand","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.8"
"Australia and New Zealand","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","40"
"Other Europe (14)","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","223"
"Other Europe (14)","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"Other Europe (14)","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","96"
"Other Europe (14)","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","342"
"Other Europe (14)","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Other Europe (14)","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","145"
"Other Europe (14)","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","396"
"Other Europe (14)","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.4"
"Other Europe (14)","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","177"
"Other Europe (14)","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","291"
"Other Europe (14)","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"Other Europe (14)","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","125"
"Other Europe (14)","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","248"
"Other Europe (14)","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Other Europe (14)","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","120"
"Other Europe (14)","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","357"
"Other Europe (14)","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"Other Europe (14)","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","159"
"Other Europe (14)","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","408"
"Other Europe (14)","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10"
"Other Europe (14)","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","226"
"Other Europe (14)","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","300"
"Other Europe (14)","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"Other Europe (14)","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","124"
"Other Europe (14)","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","252"
"Other Europe (14)","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Other Europe (14)","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","104"
"Other Europe (14)","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","389"
"Other Europe (14)","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"Other Europe (14)","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","177"
"Other Europe (14)","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","425"
"Other Europe (14)","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.7"
"Other Europe (14)","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","226"
"Other Europe (14)","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","302"
"Other Europe (14)","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"Other Europe (14)","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","131"
"Other Europe (14)","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","292"
"Other Europe (14)","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"Other Europe (14)","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","117"
"Other Europe (14)","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","415"
"Other Europe (14)","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Other Europe (14)","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","192"
"Other Europe (14)","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","501"
"Other Europe (14)","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.1"
"Other Europe (14)","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","301"
"Other Europe (14)","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","380"
"Other Europe (14)","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"Other Europe (14)","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","161"
"Other Europe (14)","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","336"
"Other Europe (14)","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"Other Europe (14)","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","137"
"Other Europe (14)","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","476"
"Other Europe (14)","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Other Europe (14)","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","208"
"Other Europe (14)","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","562"
"Other Europe (14)","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.7"
"Other Europe (14)","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","324"
"Other Europe (14)","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","400"
"Other Europe (14)","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"Other Europe (14)","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"Other Europe (14)","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","329"
"Other Europe (14)","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"Other Europe (14)","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","121"
"Other Europe (14)","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","546"
"Other Europe (14)","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Other Europe (14)","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","250"
"Other Europe (14)","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","568"
"Other Europe (14)","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"Other Europe (14)","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","316"
"Other Europe (14)","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","445"
"Other Europe (14)","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Other Europe (14)","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","196"
"Other Europe (14)","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","380"
"Other Europe (14)","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"Other Europe (14)","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"Other Europe (14)","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","573"
"Other Europe (14)","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"Other Europe (14)","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","262"
"Other Europe (14)","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","605"
"Other Europe (14)","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Other Europe (14)","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","300"
"Other Europe (14)","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","462"
"Other Europe (14)","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"Other Europe (14)","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","176"
"Other Europe (14)","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","413"
"Other Europe (14)","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"Other Europe (14)","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","148"
"Other Europe (14)","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","588"
"Other Europe (14)","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Other Europe (14)","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","285"
"Other Europe (14)","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","619"
"Other Europe (14)","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"Other Europe (14)","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","323"
"Other Europe (14)","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","509"
"Other Europe (14)","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Other Europe (14)","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","203"
"Other countries (18)","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","44"
"Other countries (18)","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.3"
"Other countries (18)","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"Other countries (18)","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","61"
"Other countries (18)","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.7"
"Other countries (18)","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","42"
"Other countries (18)","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","68"
"Other countries (18)","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.9"
"Other countries (18)","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","48"
"Other countries (18)","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","51"
"Other countries (18)","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.9"
"Other countries (18)","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"Other countries (18)","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","43"
"Other countries (18)","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.7"
"Other countries (18)","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"Other countries (18)","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","61"
"Other countries (18)","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.6"
"Other countries (18)","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","45"
"Other countries (18)","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","86"
"Other countries (18)","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.6"
"Other countries (18)","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","68"
"Other countries (18)","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","59"
"Other countries (18)","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.5"
"Other countries (18)","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","52"
"Other countries (18)","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","51"
"Other countries (18)","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","16"
"Other countries (18)","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","44"
"Other countries (18)","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","71"
"Other countries (18)","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.4"
"Other countries (18)","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","71"
"Other countries (18)","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","98"
"Other countries (18)","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.5"
"Other countries (18)","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","78"
"Other countries (18)","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","64"
"Other countries (18)","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","13"
"Other countries (18)","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","52"
"Other countries (18)","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","57"
"Other countries (18)","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.8"
"Other countries (18)","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"Other countries (18)","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","85"
"Other countries (18)","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.3"
"Other countries (18)","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","72"
"Other countries (18)","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","108"
"Other countries (18)","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.2"
"Other countries (18)","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","92"
"Other countries (18)","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","82"
"Other countries (18)","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.9"
"Other countries (18)","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","75"
"Other countries (18)","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","64"
"Other countries (18)","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","18"
"Other countries (18)","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","60"
"Other countries (18)","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","86"
"Other countries (18)","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.3"
"Other countries (18)","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","79"
"Other countries (18)","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","117"
"Other countries (18)","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.2"
"Other countries (18)","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","112"
"Other countries (18)","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","79"
"Other countries (18)","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.5"
"Other countries (18)","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","68"
"Other countries (18)","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","76"
"Other countries (18)","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.5"
"Other countries (18)","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","61"
"Other countries (18)","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","115"
"Other countries (18)","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12"
"Other countries (18)","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","92"
"Other countries (18)","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","135"
"Other countries (18)","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.7"
"Other countries (18)","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","137"
"Other countries (18)","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","85"
"Other countries (18)","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","20.3"
"Other countries (18)","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","81"
"Other countries (18)","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","78"
"Other countries (18)","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.1"
"Other countries (18)","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","76"
"Other countries (18)","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","112"
"Other countries (18)","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","11"
"Other countries (18)","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","98"
"Other countries (18)","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","149"
"Other countries (18)","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.2"
"Other countries (18)","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","123"
"Other countries (18)","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","94"
"Other countries (18)","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.4"
"Other countries (18)","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","72"
"Other countries (18)","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","88"
"Other countries (18)","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.9"
"Other countries (18)","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","70"
"Other countries (18)","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","127"
"Other countries (18)","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.7"
"Other countries (18)","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","107"
"Other countries (18)","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","155"
"Other countries (18)","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.1"
"Other countries (18)","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","119"
"Other countries (18)","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","103"
"Other countries (18)","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.2"
"Other countries (18)","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","80"
