"Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"Holiday/leisure/recreation","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"Holiday/leisure/recreation","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","282"
"Holiday/leisure/recreation","2016Q1","Overseas Trips by Irish Residents","Thousand","798"
"Holiday/leisure/recreation","2016Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.1"
"Holiday/leisure/recreation","2016Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","794"
"Holiday/leisure/recreation","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1257"
"Holiday/leisure/recreation","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"Holiday/leisure/recreation","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","738"
"Holiday/leisure/recreation","2016Q2","Overseas Trips by Irish Residents","Thousand","1274"
"Holiday/leisure/recreation","2016Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"Holiday/leisure/recreation","2016Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1128"
"Holiday/leisure/recreation","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1574"
"Holiday/leisure/recreation","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"Holiday/leisure/recreation","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1073"
"Holiday/leisure/recreation","2016Q3","Overseas Trips by Irish Residents","Thousand","1589"
"Holiday/leisure/recreation","2016Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.8"
"Holiday/leisure/recreation","2016Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1787"
"Holiday/leisure/recreation","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","866"
"Holiday/leisure/recreation","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"Holiday/leisure/recreation","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","455"
"Holiday/leisure/recreation","2016Q4","Overseas Trips by Irish Residents","Thousand","902"
"Holiday/leisure/recreation","2016Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.5"
"Holiday/leisure/recreation","2016Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","899"
"Holiday/leisure/recreation","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","691"
"Holiday/leisure/recreation","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"Holiday/leisure/recreation","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","283"
"Holiday/leisure/recreation","2017Q1","Overseas Trips by Irish Residents","Thousand","855"
"Holiday/leisure/recreation","2017Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"Holiday/leisure/recreation","2017Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","763"
"Holiday/leisure/recreation","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1419"
"Holiday/leisure/recreation","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"Holiday/leisure/recreation","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","861"
"Holiday/leisure/recreation","2017Q2","Overseas Trips by Irish Residents","Thousand","1345"
"Holiday/leisure/recreation","2017Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.1"
"Holiday/leisure/recreation","2017Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1227"
"Holiday/leisure/recreation","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1632"
"Holiday/leisure/recreation","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"Holiday/leisure/recreation","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1106"
"Holiday/leisure/recreation","2017Q3","Overseas Trips by Irish Residents","Thousand","1808"
"Holiday/leisure/recreation","2017Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.1"
"Holiday/leisure/recreation","2017Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1944"
"Holiday/leisure/recreation","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","968"
"Holiday/leisure/recreation","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"Holiday/leisure/recreation","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","507"
"Holiday/leisure/recreation","2017Q4","Overseas Trips by Irish Residents","Thousand","1050"
"Holiday/leisure/recreation","2017Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7"
"Holiday/leisure/recreation","2017Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","977"
"Holiday/leisure/recreation","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","796"
"Holiday/leisure/recreation","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"Holiday/leisure/recreation","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","350"
"Holiday/leisure/recreation","2018Q1","Overseas Trips by Irish Residents","Thousand","928"
"Holiday/leisure/recreation","2018Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"Holiday/leisure/recreation","2018Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","908"
"Holiday/leisure/recreation","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1545"
"Holiday/leisure/recreation","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"Holiday/leisure/recreation","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","925"
"Holiday/leisure/recreation","2018Q2","Overseas Trips by Irish Residents","Thousand","1522"
"Holiday/leisure/recreation","2018Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.6"
"Holiday/leisure/recreation","2018Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1391"
"Holiday/leisure/recreation","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1802"
"Holiday/leisure/recreation","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"Holiday/leisure/recreation","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1249"
"Holiday/leisure/recreation","2018Q3","Overseas Trips by Irish Residents","Thousand","1845"
"Holiday/leisure/recreation","2018Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.1"
"Holiday/leisure/recreation","2018Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1961"
"Holiday/leisure/recreation","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1092"
"Holiday/leisure/recreation","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"Holiday/leisure/recreation","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","582"
"Holiday/leisure/recreation","2018Q4","Overseas Trips by Irish Residents","Thousand","1081"
"Holiday/leisure/recreation","2018Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"Holiday/leisure/recreation","2018Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1049"
"Holiday/leisure/recreation","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","827"
"Holiday/leisure/recreation","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"Holiday/leisure/recreation","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","350"
"Holiday/leisure/recreation","2019Q1","Overseas Trips by Irish Residents","Thousand","1013"
"Holiday/leisure/recreation","2019Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"Holiday/leisure/recreation","2019Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1043"
"Holiday/leisure/recreation","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1551"
"Holiday/leisure/recreation","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"Holiday/leisure/recreation","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","985"
"Holiday/leisure/recreation","2019Q2","Overseas Trips by Irish Residents","Thousand","1629"
"Holiday/leisure/recreation","2019Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.9"
"Holiday/leisure/recreation","2019Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1568"
"Holiday/leisure/recreation","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1798"
"Holiday/leisure/recreation","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Holiday/leisure/recreation","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1252"
"Holiday/leisure/recreation","2019Q3","Overseas Trips by Irish Residents","Thousand","1940"
"Holiday/leisure/recreation","2019Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.3"
"Holiday/leisure/recreation","2019Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2151"
"Holiday/leisure/recreation","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1040"
"Holiday/leisure/recreation","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"Holiday/leisure/recreation","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","487"
"Holiday/leisure/recreation","2019Q4","Overseas Trips by Irish Residents","Thousand","1161"
"Holiday/leisure/recreation","2019Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.4"
"Holiday/leisure/recreation","2019Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1157"
"Visit to friends/relatives","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","392"
"Visit to friends/relatives","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"Visit to friends/relatives","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","129"
"Visit to friends/relatives","2012Q1","Overseas Trips by Irish Residents","Thousand","348"
"Visit to friends/relatives","2012Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8"
"Visit to friends/relatives","2012Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","193"
"Visit to friends/relatives","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","465"
"Visit to friends/relatives","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"Visit to friends/relatives","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"Visit to friends/relatives","2012Q2","Overseas Trips by Irish Residents","Thousand","376"
"Visit to friends/relatives","2012Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.3"
"Visit to friends/relatives","2012Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","180"
"Visit to friends/relatives","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","517"
"Visit to friends/relatives","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Visit to friends/relatives","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","164"
"Visit to friends/relatives","2012Q3","Overseas Trips by Irish Residents","Thousand","398"
"Visit to friends/relatives","2012Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.1"
"Visit to friends/relatives","2012Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","255"
"Visit to friends/relatives","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","444"
"Visit to friends/relatives","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"Visit to friends/relatives","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","144"
"Visit to friends/relatives","2012Q4","Overseas Trips by Irish Residents","Thousand","386"
"Visit to friends/relatives","2012Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.2"
"Visit to friends/relatives","2012Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","191"
"Visit to friends/relatives","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","425"
"Visit to friends/relatives","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Visit to friends/relatives","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","128"
"Visit to friends/relatives","2013Q1","Overseas Trips by Irish Residents","Thousand","384"
"Visit to friends/relatives","2013Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.3"
"Visit to friends/relatives","2013Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","205"
"Visit to friends/relatives","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","455"
"Visit to friends/relatives","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Visit to friends/relatives","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","139"
"Visit to friends/relatives","2013Q2","Overseas Trips by Irish Residents","Thousand","378"
"Visit to friends/relatives","2013Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"Visit to friends/relatives","2013Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","196"
"Visit to friends/relatives","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","602"
"Visit to friends/relatives","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"Visit to friends/relatives","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","232"
"Visit to friends/relatives","2013Q3","Overseas Trips by Irish Residents","Thousand","374"
"Visit to friends/relatives","2013Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"Visit to friends/relatives","2013Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","221"
"Visit to friends/relatives","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","532"
"Visit to friends/relatives","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"Visit to friends/relatives","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","171"
"Visit to friends/relatives","2013Q4","Overseas Trips by Irish Residents","Thousand","322"
"Visit to friends/relatives","2013Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.6"
"Visit to friends/relatives","2013Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","162"
"Visit to friends/relatives","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","466"
"Visit to friends/relatives","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Visit to friends/relatives","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","170"
"Visit to friends/relatives","2014Q1","Overseas Trips by Irish Residents","Thousand","323"
"Visit to friends/relatives","2014Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7"
"Visit to friends/relatives","2014Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","169"
"Visit to friends/relatives","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","574"
"Visit to friends/relatives","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"Visit to friends/relatives","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","195"
"Visit to friends/relatives","2014Q2","Overseas Trips by Irish Residents","Thousand","415"
"Visit to friends/relatives","2014Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.9"
"Visit to friends/relatives","2014Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","223"
"Visit to friends/relatives","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","643"
"Visit to friends/relatives","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"Visit to friends/relatives","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","251"
"Visit to friends/relatives","2014Q3","Overseas Trips by Irish Residents","Thousand","440"
"Visit to friends/relatives","2014Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.5"
"Visit to friends/relatives","2014Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","290"
"Visit to friends/relatives","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","527"
"Visit to friends/relatives","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"Visit to friends/relatives","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","169"
"Visit to friends/relatives","2014Q4","Overseas Trips by Irish Residents","Thousand","386"
"Visit to friends/relatives","2014Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.2"
"Visit to friends/relatives","2014Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","224"
"Visit to friends/relatives","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","488"
"Visit to friends/relatives","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"Visit to friends/relatives","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"Visit to friends/relatives","2015Q1","Overseas Trips by Irish Residents","Thousand","436"
"Visit to friends/relatives","2015Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.1"
"Visit to friends/relatives","2015Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","266"
"Visit to friends/relatives","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","588"
"Visit to friends/relatives","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"Visit to friends/relatives","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"Visit to friends/relatives","2015Q2","Overseas Trips by Irish Residents","Thousand","400"
"Visit to friends/relatives","2015Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"Visit to friends/relatives","2015Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","214"
"Visit to friends/relatives","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","640"
"Visit to friends/relatives","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"Visit to friends/relatives","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","256"
"Visit to friends/relatives","2015Q3","Overseas Trips by Irish Residents","Thousand","419"
"Visit to friends/relatives","2015Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.7"
"Visit to friends/relatives","2015Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","253"
"Visit to friends/relatives","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","582"
"Visit to friends/relatives","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"Visit to friends/relatives","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","197"
"Visit to friends/relatives","2015Q4","Overseas Trips by Irish Residents","Thousand","429"
"Visit to friends/relatives","2015Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.5"
"Visit to friends/relatives","2015Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","236"
"Visit to friends/relatives","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","555"
"Visit to friends/relatives","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Visit to friends/relatives","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","191"
"Visit to friends/relatives","2016Q1","Overseas Trips by Irish Residents","Thousand","468"
"Visit to friends/relatives","2016Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"Visit to friends/relatives","2016Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","250"
"Visit to friends/relatives","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","632"
"Visit to friends/relatives","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Visit to friends/relatives","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","199"
"Visit to friends/relatives","2016Q2","Overseas Trips by Irish Residents","Thousand","394"
"Visit to friends/relatives","2016Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.9"
"Visit to friends/relatives","2016Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","190"
"Visit to friends/relatives","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","730"
"Visit to friends/relatives","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Visit to friends/relatives","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","270"
"Visit to friends/relatives","2016Q3","Overseas Trips by Irish Residents","Thousand","430"
"Visit to friends/relatives","2016Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.1"
"Visit to friends/relatives","2016Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","244"
"Visit to friends/relatives","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","636"
"Visit to friends/relatives","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"Visit to friends/relatives","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","204"
"Visit to friends/relatives","2016Q4","Overseas Trips by Irish Residents","Thousand","459"
"Visit to friends/relatives","2016Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5"
"Visit to friends/relatives","2016Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","252"
"Visit to friends/relatives","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","548"
"Visit to friends/relatives","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Visit to friends/relatives","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","185"
"Visit to friends/relatives","2017Q1","Overseas Trips by Irish Residents","Thousand","441"
"Visit to friends/relatives","2017Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.6"
"Visit to friends/relatives","2017Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","236"
"Visit to friends/relatives","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","632"
"Visit to friends/relatives","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"Visit to friends/relatives","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","218"
"Visit to friends/relatives","2017Q2","Overseas Trips by Irish Residents","Thousand","489"
"Visit to friends/relatives","2017Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.1"
"Visit to friends/relatives","2017Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","245"
"Visit to friends/relatives","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","719"
"Visit to friends/relatives","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Visit to friends/relatives","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","281"
"Visit to friends/relatives","2017Q3","Overseas Trips by Irish Residents","Thousand","455"
"Visit to friends/relatives","2017Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.2"
"Visit to friends/relatives","2017Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","240"
"Visit to friends/relatives","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","667"
"Visit to friends/relatives","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"Visit to friends/relatives","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","211"
"Visit to friends/relatives","2017Q4","Overseas Trips by Irish Residents","Thousand","406"
"Visit to friends/relatives","2017Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.5"
"Visit to friends/relatives","2017Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","188"
"Visit to friends/relatives","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","529"
"Visit to friends/relatives","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"Visit to friends/relatives","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","181"
"Visit to friends/relatives","2018Q1","Overseas Trips by Irish Residents","Thousand","404"
"Visit to friends/relatives","2018Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.6"
"Visit to friends/relatives","2018Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","203"
"Visit to friends/relatives","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","730"
"Visit to friends/relatives","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"Visit to friends/relatives","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","240"
"Visit to friends/relatives","2018Q2","Overseas Trips by Irish Residents","Thousand","465"
"Visit to friends/relatives","2018Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5"
"Visit to friends/relatives","2018Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","224"
"Visit to friends/relatives","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","766"
"Visit to friends/relatives","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Visit to friends/relatives","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","274"
"Visit to friends/relatives","2018Q3","Overseas Trips by Irish Residents","Thousand","453"
"Visit to friends/relatives","2018Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.9"
"Visit to friends/relatives","2018Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","245"
"Visit to friends/relatives","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","629"
"Visit to friends/relatives","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"Visit to friends/relatives","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","186"
"Visit to friends/relatives","2018Q4","Overseas Trips by Irish Residents","Thousand","479"
"Visit to friends/relatives","2018Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.6"
"Visit to friends/relatives","2018Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","219"
"Visit to friends/relatives","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","543"
"Visit to friends/relatives","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"Visit to friends/relatives","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","178"
"Visit to friends/relatives","2019Q1","Overseas Trips by Irish Residents","Thousand","425"
"Visit to friends/relatives","2019Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.1"
"Visit to friends/relatives","2019Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","231"
"Visit to friends/relatives","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","695"
"Visit to friends/relatives","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"Visit to friends/relatives","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","223"
"Visit to friends/relatives","2019Q2","Overseas Trips by Irish Residents","Thousand","490"
"Visit to friends/relatives","2019Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.9"
"Visit to friends/relatives","2019Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","251"
"Visit to friends/relatives","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","741"
"Visit to friends/relatives","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Visit to friends/relatives","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","295"
"Visit to friends/relatives","2019Q3","Overseas Trips by Irish Residents","Thousand","540"
