"Statistic Label","Type of Accommodation Used","Reason for Journey","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2012Q1","Thousand","1604"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2012Q2","Thousand","2619"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2012Q3","Thousand","3432"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2012Q4","Thousand","2445"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2013Q1","Thousand","1633"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2013Q2","Thousand","2924"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2013Q3","Thousand","2683"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2013Q4","Thousand","2110"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2014Q1","Thousand","1433"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2014Q2","Thousand","3315"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2014Q3","Thousand","2460"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2014Q4","Thousand","2312"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2015Q1","Thousand","2091"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2015Q2","Thousand","3061"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2015Q3","Thousand","2881"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2015Q4","Thousand","2743"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2016Q1","Thousand","2301"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2016Q2","Thousand","2926"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2016Q3","Thousand","3171"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2016Q4","Thousand","2664"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2017Q1","Thousand","1942"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2017Q2","Thousand","2817"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2017Q3","Thousand","2741"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2017Q4","Thousand","3601"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2018Q1","Thousand","2568"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2018Q2","Thousand","2890"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2018Q3","Thousand","2409"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2018Q4","Thousand","2593"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2019Q1","Thousand","1861"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2019Q2","Thousand","3418"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2019Q3","Thousand","1919"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2019Q4","Thousand","3520"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2012Q1","Thousand","1781"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2012Q2","Thousand","4175"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2012Q3","Thousand","5195"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2012Q4","Thousand","3029"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2013Q1","Thousand","1906"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2013Q2","Thousand","4489"
