"Statistic Label","Type of Accommodation Used","Reason for Journey","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2013Q1","Thousand","663"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2013Q2","Thousand","1051"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2013Q3","Thousand","652"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2013Q4","Thousand","922"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2014Q1","Thousand","617"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2014Q2","Thousand","1451"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2014Q3","Thousand","695"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2014Q4","Thousand","942"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2015Q1","Thousand","883"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2015Q2","Thousand","1666"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2015Q3","Thousand","819"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2015Q4","Thousand","1169"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2016Q1","Thousand","1174"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2016Q2","Thousand","1340"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2016Q3","Thousand","923"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2016Q4","Thousand","1356"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2017Q1","Thousand","908"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2017Q2","Thousand","1311"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2017Q3","Thousand","960"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2017Q4","Thousand","1718"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2018Q1","Thousand","1086"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2018Q2","Thousand","1656"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2018Q3","Thousand","718"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2018Q4","Thousand","1228"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2019Q1","Thousand","889"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2019Q2","Thousand","1582"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2019Q3","Thousand","457"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2019Q4","Thousand","1654"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2012Q1","Thousand","3085"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2012Q2","Thousand","3031"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2012Q3","Thousand","4330"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2012Q4","Thousand","2885"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2013Q1","Thousand","3139"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2013Q2","Thousand","2866"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2013Q3","Thousand","5121"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2013Q4","Thousand","3209"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2014Q1","Thousand","3423"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2014Q2","Thousand","4023"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2014Q3","Thousand","5415"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2014Q4","Thousand","3235"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2015Q1","Thousand","3378"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2015Q2","Thousand","3591"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2015Q3","Thousand","5430"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2015Q4","Thousand","3395"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2016Q1","Thousand","3797"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2016Q2","Thousand","3870"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2016Q3","Thousand","5716"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2016Q4","Thousand","3836"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2017Q1","Thousand","3730"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2017Q2","Thousand","3733"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2017Q3","Thousand","5666"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2017Q4","Thousand","3840"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2018Q1","Thousand","3588"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2018Q2","Thousand","4082"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2018Q3","Thousand","5745"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2018Q4","Thousand","3743"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2019Q1","Thousand","3750"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2019Q2","Thousand","3972"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2019Q3","Thousand","5658"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2019Q4","Thousand","3673"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2012Q1","Thousand","342"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2012Q2","Thousand","481"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2012Q3","Thousand","909"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2012Q4","Thousand","335"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2013Q1","Thousand","404"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2013Q2","Thousand","432"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2013Q3","Thousand","1102"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2013Q4","Thousand","446"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2014Q1","Thousand","410"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2014Q2","Thousand","607"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2014Q3","Thousand","1187"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2014Q4","Thousand","431"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2015Q1","Thousand","447"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2015Q2","Thousand","537"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2015Q3","Thousand","1149"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2015Q4","Thousand","487"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2016Q1","Thousand","469"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2016Q2","Thousand","638"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2016Q3","Thousand","1244"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2016Q4","Thousand","493"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2017Q1","Thousand","575"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2017Q2","Thousand","696"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2017Q3","Thousand","1288"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2017Q4","Thousand","521"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2018Q1","Thousand","511"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2018Q2","Thousand","636"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2018Q3","Thousand","1156"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2018Q4","Thousand","493"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2019Q1","Thousand","541"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2019Q2","Thousand","585"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2019Q3","Thousand","1243"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2019Q4","Thousand","431"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2012Q1","Thousand","2456"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2012Q2","Thousand","2282"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2012Q3","Thousand","2901"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2012Q4","Thousand","2098"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2013Q1","Thousand","2371"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2013Q2","Thousand","2084"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2013Q3","Thousand","3589"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2013Q4","Thousand","2436"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2014Q1","Thousand","2671"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2014Q2","Thousand","2775"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2014Q3","Thousand","3729"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2014Q4","Thousand","2369"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2015Q1","Thousand","2583"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2015Q2","Thousand","2705"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2015Q3","Thousand","3714"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2015Q4","Thousand","2556"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2016Q1","Thousand","3061"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2016Q2","Thousand","2867"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2016Q3","Thousand","3978"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2016Q4","Thousand","2823"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2017Q1","Thousand","2886"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2017Q2","Thousand","2660"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2017Q3","Thousand","3928"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2017Q4","Thousand","2800"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2018Q1","Thousand","2665"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2018Q2","Thousand","3071"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2018Q3","Thousand","4206"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2018Q4","Thousand","2808"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2019Q1","Thousand","2901"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2019Q2","Thousand","3038"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2019Q3","Thousand","4000"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Visit to friends/relatives","2019Q4","Thousand","2860"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2012Q1","Thousand","111"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2012Q2","Thousand","105"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2012Q3","Thousand","201"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2012Q4","Thousand","311"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2013Q1","Thousand","216"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2013Q2","Thousand","135"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2013Q3","Thousand","166"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2013Q4","Thousand","181"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2014Q1","Thousand","179"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2014Q2","Thousand","250"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2014Q3","Thousand","222"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2014Q4","Thousand","197"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2015Q1","Thousand","206"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2015Q2","Thousand","164"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2015Q3","Thousand","275"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2015Q4","Thousand","206"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2016Q1","Thousand","127"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2016Q2","Thousand","144"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2016Q3","Thousand","262"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2016Q4","Thousand","350"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2017Q1","Thousand","143"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2017Q2","Thousand","141"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2017Q3","Thousand","238"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2017Q4","Thousand","237"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2018Q1","Thousand","199"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2018Q2","Thousand","204"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2018Q3","Thousand","221"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2018Q4","Thousand","308"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2019Q1","Thousand","160"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2019Q2","Thousand","126"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2019Q3","Thousand","222"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Business","2019Q4","Thousand","232"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2012Q1","Thousand","175"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2012Q2","Thousand","163"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2012Q3","Thousand","320"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2012Q4","Thousand","140"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2013Q1","Thousand","147"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2013Q2","Thousand","215"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2013Q3","Thousand","264"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2013Q4","Thousand","146"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2014Q1","Thousand","162"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2014Q2","Thousand","390"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2014Q3","Thousand","277"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2014Q4","Thousand","238"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2015Q1","Thousand","141"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2015Q2","Thousand","185"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2015Q3","Thousand","292"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2015Q4","Thousand","146"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2016Q1","Thousand","139"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2016Q2","Thousand","221"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2016Q3","Thousand","233"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2016Q4","Thousand","171"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2017Q1","Thousand","126"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2017Q2","Thousand","235"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2017Q3","Thousand","211"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2017Q4","Thousand","282"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2018Q1","Thousand","213"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2018Q2","Thousand","171"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2018Q3","Thousand","162"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2018Q4","Thousand","133"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2019Q1","Thousand","148"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2019Q2","Thousand","223"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2019Q3","Thousand","194"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other reason for journey","2019Q4","Thousand","151"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2012Q1","Thousand","405"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2012Q2","Thousand","1127"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2012Q3","Thousand","1730"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2012Q4","Thousand","812"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2013Q1","Thousand","453"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2013Q2","Thousand","1145"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2013Q3","Thousand","2151"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2013Q4","Thousand","701"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2014Q1","Thousand","470"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2014Q2","Thousand","1458"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2014Q3","Thousand","2327"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2014Q4","Thousand","916"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2015Q1","Thousand","653"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2015Q2","Thousand","1820"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2015Q3","Thousand","3040"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2015Q4","Thousand","1217"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2016Q1","Thousand","798"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2016Q2","Thousand","2229"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2016Q3","Thousand","3602"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2016Q4","Thousand","1225"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2017Q1","Thousand","832"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2017Q2","Thousand","2518"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2017Q3","Thousand","3555"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2017Q4","Thousand","1689"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2018Q1","Thousand","1182"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2018Q2","Thousand","2876"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2018Q3","Thousand","3921"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2018Q4","Thousand","1596"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2019Q1","Thousand","979"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2019Q2","Thousand","2862"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2019Q3","Thousand","3659"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All reasons for journey","2019Q4","Thousand","1428"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2012Q1","Thousand","169"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2012Q2","Thousand","741"
