"Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"Business","2014Q4","Trips with at Least One Overnight in Ireland","Thousand","291"
"Business","2014Q4","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"Business","2015Q1","Trips with at Least One Overnight in Ireland","Thousand","314"
"Business","2015Q1","Same-Day Trips, No Overnight in Ireland","Thousand","50"
"Business","2015Q2","Trips with at Least One Overnight in Ireland","Thousand","299"
"Business","2015Q2","Same-Day Trips, No Overnight in Ireland","Thousand","45"
"Business","2015Q3","Trips with at Least One Overnight in Ireland","Thousand","290"
"Business","2015Q3","Same-Day Trips, No Overnight in Ireland","Thousand","42"
"Business","2015Q4","Trips with at Least One Overnight in Ireland","Thousand","349"
"Business","2015Q4","Same-Day Trips, No Overnight in Ireland","Thousand","51"
"Business","2016Q1","Trips with at Least One Overnight in Ireland","Thousand","313"
"Business","2016Q1","Same-Day Trips, No Overnight in Ireland","Thousand","51"
"Business","2016Q2","Trips with at Least One Overnight in Ireland","Thousand","369"
"Business","2016Q2","Same-Day Trips, No Overnight in Ireland","Thousand","65"
"Business","2016Q3","Trips with at Least One Overnight in Ireland","Thousand","307"
"Business","2016Q3","Same-Day Trips, No Overnight in Ireland","Thousand","56"
"Business","2016Q4","Trips with at Least One Overnight in Ireland","Thousand","330"
"Business","2016Q4","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"Business","2017Q1","Trips with at Least One Overnight in Ireland","Thousand","298"
"Business","2017Q1","Same-Day Trips, No Overnight in Ireland","Thousand","54"
"Business","2017Q2","Trips with at Least One Overnight in Ireland","Thousand","360"
"Business","2017Q2","Same-Day Trips, No Overnight in Ireland","Thousand","53"
"Business","2017Q3","Trips with at Least One Overnight in Ireland","Thousand","310"
"Business","2017Q3","Same-Day Trips, No Overnight in Ireland","Thousand","50"
"Business","2017Q4","Trips with at Least One Overnight in Ireland","Thousand","305"
"Business","2017Q4","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"Business","2018Q1","Trips with at Least One Overnight in Ireland","Thousand","299"
"Business","2018Q1","Same-Day Trips, No Overnight in Ireland","Thousand","51"
"Business","2018Q2","Trips with at Least One Overnight in Ireland","Thousand","304"
"Business","2018Q2","Same-Day Trips, No Overnight in Ireland","Thousand","56"
"Business","2018Q3","Trips with at Least One Overnight in Ireland","Thousand","293"
"Business","2018Q3","Same-Day Trips, No Overnight in Ireland","Thousand","40"
"Business","2018Q4","Trips with at Least One Overnight in Ireland","Thousand","331"
"Business","2018Q4","Same-Day Trips, No Overnight in Ireland","Thousand","59"
"Business","2019Q1","Trips with at Least One Overnight in Ireland","Thousand","343"
"Business","2019Q1","Same-Day Trips, No Overnight in Ireland","Thousand","46"
"Business","2019Q2","Trips with at Least One Overnight in Ireland","Thousand","321"
"Business","2019Q2","Same-Day Trips, No Overnight in Ireland","Thousand","44"
"Business","2019Q3","Trips with at Least One Overnight in Ireland","Thousand","309"
"Business","2019Q3","Same-Day Trips, No Overnight in Ireland","Thousand","42"
"Business","2019Q4","Trips with at Least One Overnight in Ireland","Thousand","323"
"Business","2019Q4","Same-Day Trips, No Overnight in Ireland","Thousand","56"
"Other reason for journey","2012Q1","Trips with at Least One Overnight in Ireland","Thousand","74"
"Other reason for journey","2012Q1","Same-Day Trips, No Overnight in Ireland","Thousand","35"
"Other reason for journey","2012Q2","Trips with at Least One Overnight in Ireland","Thousand","127"
"Other reason for journey","2012Q2","Same-Day Trips, No Overnight in Ireland","Thousand","61"
"Other reason for journey","2012Q3","Trips with at Least One Overnight in Ireland","Thousand","178"
"Other reason for journey","2012Q3","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"Other reason for journey","2012Q4","Trips with at Least One Overnight in Ireland","Thousand","108"
"Other reason for journey","2012Q4","Same-Day Trips, No Overnight in Ireland","Thousand","54"
"Other reason for journey","2013Q1","Trips with at Least One Overnight in Ireland","Thousand","53"
"Other reason for journey","2013Q1","Same-Day Trips, No Overnight in Ireland","Thousand","40"
"Other reason for journey","2013Q2","Trips with at Least One Overnight in Ireland","Thousand","134"
"Other reason for journey","2013Q2","Same-Day Trips, No Overnight in Ireland","Thousand","90"
"Other reason for journey","2013Q3","Trips with at Least One Overnight in Ireland","Thousand","106"
"Other reason for journey","2013Q3","Same-Day Trips, No Overnight in Ireland","Thousand","112"
"Other reason for journey","2013Q4","Trips with at Least One Overnight in Ireland","Thousand","57"
"Other reason for journey","2013Q4","Same-Day Trips, No Overnight in Ireland","Thousand","77"
"Other reason for journey","2014Q1","Trips with at Least One Overnight in Ireland","Thousand","48"
"Other reason for journey","2014Q1","Same-Day Trips, No Overnight in Ireland","Thousand","68"
"Other reason for journey","2014Q2","Trips with at Least One Overnight in Ireland","Thousand","95"
"Other reason for journey","2014Q2","Same-Day Trips, No Overnight in Ireland","Thousand","136"
"Other reason for journey","2014Q3","Trips with at Least One Overnight in Ireland","Thousand","110"
"Other reason for journey","2014Q3","Same-Day Trips, No Overnight in Ireland","Thousand","146"
"Other reason for journey","2014Q4","Trips with at Least One Overnight in Ireland","Thousand","64"
"Other reason for journey","2014Q4","Same-Day Trips, No Overnight in Ireland","Thousand","123"
"Other reason for journey","2015Q1","Trips with at Least One Overnight in Ireland","Thousand","63"
"Other reason for journey","2015Q1","Same-Day Trips, No Overnight in Ireland","Thousand","77"
"Other reason for journey","2015Q2","Trips with at Least One Overnight in Ireland","Thousand","87"
"Other reason for journey","2015Q2","Same-Day Trips, No Overnight in Ireland","Thousand","142"
"Other reason for journey","2015Q3","Trips with at Least One Overnight in Ireland","Thousand","129"
"Other reason for journey","2015Q3","Same-Day Trips, No Overnight in Ireland","Thousand","185"
"Other reason for journey","2015Q4","Trips with at Least One Overnight in Ireland","Thousand","72"
"Other reason for journey","2015Q4","Same-Day Trips, No Overnight in Ireland","Thousand","148"
"Other reason for journey","2016Q1","Trips with at Least One Overnight in Ireland","Thousand","67"
"Other reason for journey","2016Q1","Same-Day Trips, No Overnight in Ireland","Thousand","108"
"Other reason for journey","2016Q2","Trips with at Least One Overnight in Ireland","Thousand","101"
"Other reason for journey","2016Q2","Same-Day Trips, No Overnight in Ireland","Thousand","175"
"Other reason for journey","2016Q3","Trips with at Least One Overnight in Ireland","Thousand","142"
"Other reason for journey","2016Q3","Same-Day Trips, No Overnight in Ireland","Thousand","252"
"Other reason for journey","2016Q4","Trips with at Least One Overnight in Ireland","Thousand","73"
"Other reason for journey","2016Q4","Same-Day Trips, No Overnight in Ireland","Thousand","186"
"Other reason for journey","2017Q1","Trips with at Least One Overnight in Ireland","Thousand","72"
"Other reason for journey","2017Q1","Same-Day Trips, No Overnight in Ireland","Thousand","134"
"Other reason for journey","2017Q2","Trips with at Least One Overnight in Ireland","Thousand","95"
"Other reason for journey","2017Q2","Same-Day Trips, No Overnight in Ireland","Thousand","211"
"Other reason for journey","2017Q3","Trips with at Least One Overnight in Ireland","Thousand","131"
"Other reason for journey","2017Q3","Same-Day Trips, No Overnight in Ireland","Thousand","253"
"Other reason for journey","2017Q4","Trips with at Least One Overnight in Ireland","Thousand","95"
"Other reason for journey","2017Q4","Same-Day Trips, No Overnight in Ireland","Thousand","187"
"Other reason for journey","2018Q1","Trips with at Least One Overnight in Ireland","Thousand","89"
"Other reason for journey","2018Q1","Same-Day Trips, No Overnight in Ireland","Thousand","156"
"Other reason for journey","2018Q2","Trips with at Least One Overnight in Ireland","Thousand","98"
"Other reason for journey","2018Q2","Same-Day Trips, No Overnight in Ireland","Thousand","219"
"Other reason for journey","2018Q3","Trips with at Least One Overnight in Ireland","Thousand","128"
"Other reason for journey","2018Q3","Same-Day Trips, No Overnight in Ireland","Thousand","302"
"Other reason for journey","2018Q4","Trips with at Least One Overnight in Ireland","Thousand","80"
"Other reason for journey","2018Q4","Same-Day Trips, No Overnight in Ireland","Thousand","222"
"Other reason for journey","2019Q1","Trips with at Least One Overnight in Ireland","Thousand","85"
"Other reason for journey","2019Q1","Same-Day Trips, No Overnight in Ireland","Thousand","182"
"Other reason for journey","2019Q2","Trips with at Least One Overnight in Ireland","Thousand","124"
"Other reason for journey","2019Q2","Same-Day Trips, No Overnight in Ireland","Thousand","287"
"Other reason for journey","2019Q3","Trips with at Least One Overnight in Ireland","Thousand","112"
"Other reason for journey","2019Q3","Same-Day Trips, No Overnight in Ireland","Thousand","333"
"Other reason for journey","2019Q4","Trips with at Least One Overnight in Ireland","Thousand","91"
"Other reason for journey","2019Q4","Same-Day Trips, No Overnight in Ireland","Thousand","227"
