"STATISTIC","Statistic Label","C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20183","2018Q3","%","34"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20184","2018Q4","%","41"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20191","2019Q1","%","39"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20192","2019Q2","%","34"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20193","2019Q3","%","34"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","20194","2019Q4","%","38"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20121","2012Q1","%","49"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20122","2012Q2","%","39"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20123","2012Q3","%","50"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20124","2012Q4","%","37"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20131","2013Q1","%","47"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20132","2013Q2","%","25"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20133","2013Q3","%","45"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20134","2013Q4","%","60"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20141","2014Q1","%","61"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20142","2014Q2","%","45"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20143","2014Q3","%","39"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20144","2014Q4","%","39"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20151","2015Q1","%","50"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20152","2015Q2","%","38"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20153","2015Q3","%","41"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20154","2015Q4","%","49"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20161","2016Q1","%","51"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20162","2016Q2","%","38"
