"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","AREARES","Area of Residence","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20153","2015Q3","Thousand","9769"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20154","2015Q4","Thousand","5302"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20161","2016Q1","Thousand","5183"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20162","2016Q2","Thousand","7850"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20163","2016Q3","Thousand","10627"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20164","2016Q4","Thousand","5345"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20171","2017Q1","Thousand","4436"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20172","2017Q2","Thousand","7828"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20173","2017Q3","Thousand","9707"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20174","2017Q4","Thousand","6712"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20181","2018Q1","Thousand","5397"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20182","2018Q2","Thousand","8443"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20183","2018Q3","Thousand","10219"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20184","2018Q4","Thousand","6673"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20191","2019Q1","Thousand","5098"
