"STATISTIC","Statistic Label","C02173V04143","Detailed Area of Residence","TLIST(A1)","Year","UNIT","VALUE"
"TMA23","Overseas Trips to Ireland","FR","France","2016","2016","Thousand","531.4"
"TMA23","Overseas Trips to Ireland","FR","France","2017","2017","Thousand","549.3"
"TMA23","Overseas Trips to Ireland","FR","France","2018","2018","Thousand","564.8"
"TMA23","Overseas Trips to Ireland","FR","France","2019","2019","Thousand","576.8"
"TMA23","Overseas Trips to Ireland","IT","Italy","2010","2010","Thousand","221.8"
"TMA23","Overseas Trips to Ireland","IT","Italy","2011","2011","Thousand","220.1"
"TMA23","Overseas Trips to Ireland","IT","Italy","2012","2012","Thousand","251.7"
"TMA23","Overseas Trips to Ireland","IT","Italy","2013","2013","Thousand","234"
"TMA23","Overseas Trips to Ireland","IT","Italy","2014","2014","Thousand","257.8"
"TMA23","Overseas Trips to Ireland","IT","Italy","2015","2015","Thousand","321.4"
"TMA23","Overseas Trips to Ireland","IT","Italy","2016","2016","Thousand","344.4"
"TMA23","Overseas Trips to Ireland","IT","Italy","2017","2017","Thousand","363.3"
"TMA23","Overseas Trips to Ireland","IT","Italy","2018","2018","Thousand","409.1"
"TMA23","Overseas Trips to Ireland","IT","Italy","2019","2019","Thousand","392.3"
"TMA23","Overseas Trips to Ireland","NL","Netherlands","2010","2010","Thousand","122.7"
"TMA23","Overseas Trips to Ireland","NL","Netherlands","2011","2011","Thousand","138.5"
"TMA23","Overseas Trips to Ireland","NL","Netherlands","2012","2012","Thousand","143"
"TMA23","Overseas Trips to Ireland","NL","Netherlands","2013","2013","Thousand","155"
"TMA23","Overseas Trips to Ireland","NL","Netherlands","2014","2014","Thousand","158.4"
"TMA23","Overseas Trips to Ireland","NL","Netherlands","2015","2015","Thousand","183.6"
"TMA23","Overseas Trips to Ireland","NL","Netherlands","2016","2016","Thousand","235.6"
"TMA23","Overseas Trips to Ireland","NL","Netherlands","2017","2017","Thousand","246.4"
"TMA23","Overseas Trips to Ireland","NL","Netherlands","2018","2018","Thousand","247.8"
"TMA23","Overseas Trips to Ireland","NL","Netherlands","2019","2019","Thousand","248.3"
"TMA23","Overseas Trips to Ireland","NO","Norway","2010","2010","Thousand","46.5"
"TMA23","Overseas Trips to Ireland","NO","Norway","2011","2011","Thousand","54.2"
"TMA23","Overseas Trips to Ireland","NO","Norway","2012","2012","Thousand","51.2"
"TMA23","Overseas Trips to Ireland","NO","Norway","2013","2013","Thousand","52.7"
"TMA23","Overseas Trips to Ireland","NO","Norway","2014","2014","Thousand","53.6"
"TMA23","Overseas Trips to Ireland","NO","Norway","2015","2015","Thousand","62.1"
"TMA23","Overseas Trips to Ireland","NO","Norway","2016","2016","Thousand","53.3"
"TMA23","Overseas Trips to Ireland","NO","Norway","2017","2017","Thousand","58.3"
"TMA23","Overseas Trips to Ireland","NO","Norway","2018","2018","Thousand","57.5"
"TMA23","Overseas Trips to Ireland","NO","Norway","2019","2019","Thousand","52.3"
"TMA23","Overseas Trips to Ireland","PL","Poland","2010","2010","Thousand","171.1"
"TMA23","Overseas Trips to Ireland","PL","Poland","2011","2011","Thousand","170.6"
"TMA23","Overseas Trips to Ireland","PL","Poland","2012","2012","Thousand","168.9"
"TMA23","Overseas Trips to Ireland","PL","Poland","2013","2013","Thousand","159.7"
"TMA23","Overseas Trips to Ireland","PL","Poland","2014","2014","Thousand","149.5"
"TMA23","Overseas Trips to Ireland","PL","Poland","2015","2015","Thousand","172.2"
"TMA23","Overseas Trips to Ireland","PL","Poland","2016","2016","Thousand","189.2"
"TMA23","Overseas Trips to Ireland","PL","Poland","2017","2017","Thousand","181.4"
"TMA23","Overseas Trips to Ireland","PL","Poland","2018","2018","Thousand","205.4"
"TMA23","Overseas Trips to Ireland","PL","Poland","2019","2019","Thousand","230.9"
"TMA23","Overseas Trips to Ireland","SE","Sweden","2010","2010","Thousand","54.5"
"TMA23","Overseas Trips to Ireland","SE","Sweden","2011","2011","Thousand","60"
"TMA23","Overseas Trips to Ireland","SE","Sweden","2012","2012","Thousand","74.6"
"TMA23","Overseas Trips to Ireland","SE","Sweden","2013","2013","Thousand","75.9"
"TMA23","Overseas Trips to Ireland","SE","Sweden","2014","2014","Thousand","64.4"
"TMA23","Overseas Trips to Ireland","SE","Sweden","2015","2015","Thousand","67.2"
"TMA23","Overseas Trips to Ireland","SE","Sweden","2016","2016","Thousand","63.5"
"TMA23","Overseas Trips to Ireland","SE","Sweden","2017","2017","Thousand","81"
"TMA23","Overseas Trips to Ireland","SE","Sweden","2018","2018","Thousand","82.9"
"TMA23","Overseas Trips to Ireland","SE","Sweden","2019","2019","Thousand","83.6"
"TMA23","Overseas Trips to Ireland","US","USA","2010","2010","Thousand","848.3"
"TMA23","Overseas Trips to Ireland","US","USA","2011","2011","Thousand","888.6"
"TMA23","Overseas Trips to Ireland","US","USA","2012","2012","Thousand","904.2"
"TMA23","Overseas Trips to Ireland","US","USA","2013","2013","Thousand","1035.5"
"TMA23","Overseas Trips to Ireland","US","USA","2014","2014","Thousand","1169.1"
"TMA23","Overseas Trips to Ireland","US","USA","2015","2015","Thousand","1323.4"
"TMA23","Overseas Trips to Ireland","US","USA","2016","2016","Thousand","1586.4"
"TMA23","Overseas Trips to Ireland","US","USA","2017","2017","Thousand","1852.9"
"TMA23","Overseas Trips to Ireland","US","USA","2018","2018","Thousand","2114.9"
"TMA23","Overseas Trips to Ireland","US","USA","2019","2019","Thousand","2128.8"
"TMA23","Overseas Trips to Ireland","XB","Great Britain","2010","2010","Thousand","2738.5"
"TMA23","Overseas Trips to Ireland","XB","Great Britain","2011","2011","Thousand","2878.1"
"TMA23","Overseas Trips to Ireland","XB","Great Britain","2012","2012","Thousand","2774.2"
"TMA23","Overseas Trips to Ireland","XB","Great Britain","2013","2013","Thousand","2928.9"
"TMA23","Overseas Trips to Ireland","XB","Great Britain","2014","2014","Thousand","3163.9"
"TMA23","Overseas Trips to Ireland","XB","Great Britain","2015","2015","Thousand","3546.9"
"TMA23","Overseas Trips to Ireland","XB","Great Britain","2016","2016","Thousand","3924.1"
"TMA23","Overseas Trips to Ireland","XB","Great Britain","2017","2017","Thousand","3728.9"
"TMA23","Overseas Trips to Ireland","XB","Great Britain","2018","2018","Thousand","3759"
"TMA23","Overseas Trips to Ireland","XB","Great Britain","2019","2019","Thousand","3787.7"
"TMA23","Overseas Trips to Ireland","ZZAA10","Africa (11)","2010","2010","Thousand",""
"TMA23","Overseas Trips to Ireland","ZZAA10","Africa (11)","2011","2011","Thousand","38.6"
"TMA23","Overseas Trips to Ireland","ZZAA10","Africa (11)","2012","2012","Thousand","41.1"
"TMA23","Overseas Trips to Ireland","ZZAA10","Africa (11)","2013","2013","Thousand","39"
"TMA23","Overseas Trips to Ireland","ZZAA10","Africa (11)","2014","2014","Thousand","44.7"
"TMA23","Overseas Trips to Ireland","ZZAA10","Africa (11)","2015","2015","Thousand","43.6"
"TMA23","Overseas Trips to Ireland","ZZAA10","Africa (11)","2016","2016","Thousand","49.9"
"TMA23","Overseas Trips to Ireland","ZZAA10","Africa (11)","2017","2017","Thousand","55.3"
"TMA23","Overseas Trips to Ireland","ZZAA10","Africa (11)","2018","2018","Thousand","58.1"
"TMA23","Overseas Trips to Ireland","ZZAA10","Africa (11)","2019","2019","Thousand","63.2"
"TMA23","Overseas Trips to Ireland","ZZAA9","Africa (10)","2010","2010","Thousand","36.3"
"TMA23","Overseas Trips to Ireland","ZZAA9","Africa (10)","2011","2011","Thousand",""
"TMA23","Overseas Trips to Ireland","ZZAA9","Africa (10)","2012","2012","Thousand",""
"TMA23","Overseas Trips to Ireland","ZZAA9","Africa (10)","2013","2013","Thousand",""
"TMA23","Overseas Trips to Ireland","ZZAA9","Africa (10)","2014","2014","Thousand",""
